RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637741159617,26.0,null
1637741160636,30.0,null
1637741161647,28.0,null
1637741162646,29.0,null
1637741163639,29.0,null
1637741164622,29.0,null
1637741165627,29.0,null
1637741166637,31.0,null
1637741167671,30.0,null
1637741168648,30.0,null
1637741169652,28.0,null
1637741170674,31.0,null
1637741171644,30.0,null
1637741172656,30.0,null
1637741173660,26.0,null
1637741174661,29.0,null
1637741175666,27.0,null
1637741176667,29.0,null
1637741177664,29.0,null
1637741178700,28.0,null
1637741179679,30.0,null
1637741180681,27.0,null
1637741181702,30.0,null
1637741182674,23.0,null
1637741183688,14.0,null
1637741184688,25.0,null
1637741185680,27.0,null
1637741186715,25.0,null
1637741187705,29.0,null
1637741188707,29.0,null
1637741189737,28.0,null
1637741190724,24.0,null
1637741191714,28.0,null
1637741192723,28.0,null
1637741193710,28.0,null
1637741194724,24.0,null
1637741195741,23.0,null
1637741196733,28.0,null
1637741197749,28.0,null
1637741198762,28.0,null
1637741199777,26.0,null
1637741200740,27.0,null
1637741201749,30.0,null
1637741202761,30.0,null
1637741203757,29.0,null
1637741204780,24.0,null
1637741205758,29.0,null
1637741206753,29.0,null
1637741207769,30.0,null
1637741208779,29.0,null
1637741209766,27.0,null
1637741210774,26.0,null
1637741211784,26.0,null
1637741212793,27.0,null
1637741213809,29.0,null
1637741214799,29.0,null
1637741215791,27.0,null
1637741216794,28.0,null
1637741217814,22.0,null
1637741218887,26.0,null
1637741219808,26.0,null
1637741220820,27.0,null
1637741221858,24.0,null
1637741222843,27.0,null
1637741223815,23.0,null
1637741224843,21.0,null
1637741225846,24.0,null
1637741226826,25.0,null
1637741227858,28.0,null
1637741228843,27.0,null
1637741229846,28.0,null
1637741230864,29.0,null
1637741231847,29.0,null
1637741232848,30.0,null
1637741233860,30.0,null
1637741234870,30.0,null
1637741235841,29.0,null
1637741236852,29.0,null
1637741237859,28.0,null
1637741238868,28.0,null
1637741239849,27.0,null
1637741240922,27.0,null
1637741241907,28.0,null
1637741242889,27.0,null
1637741243885,27.0,null
1637741244933,26.0,null
1637741245881,27.0,null
1637741246897,29.0,null
1637741247903,28.0,null
1637741248933,29.0,null
1637741249890,29.0,null
1637741250887,28.0,null
1637741251900,29.0,null
1637741252910,28.0,null
1637741253916,29.0,null
1637741254913,29.0,null
1637741255917,28.0,null
1637741256916,28.0,null
1637741257887,29.0,null
1637741258915,28.0,null
1637741259912,26.0,null
1637741260941,29.0,null
1637741261924,29.0,null
1637741262929,27.0,null
1637741263926,28.0,null
1637741264925,28.0,null
1637741265941,29.0,null
1637741266923,26.0,null
1637741267972,28.0,null
1637741268945,26.0,null
1637741269945,22.0,null
1637741271037,20.0,null
1637741271957,17.0,null
1637741272971,22.0,null
1637741273973,25.0,null
1637741274972,22.0,null
1637741275972,21.0,null
1637741276961,24.0,null
1637741277969,25.0,null
1637741279007,24.0,null
1637741279998,24.0,null
1637741281002,25.0,null
1637741281978,26.0,null
1637741283023,26.0,null
1637741284012,27.0,null
1637741285008,25.0,null
1637741286015,26.0,null
1637741287015,28.0,null
1637741288011,28.0,null
1637741289052,27.0,null
1637741290018,28.0,null
1637741291013,27.0,null
1637741292021,26.0,null
1637741293029,22.0,null
1637741294020,22.0,null
1637741295036,25.0,null
1637741296032,25.0,null
1637741297039,25.0,null
1637741298031,25.0,null
1637741299056,24.0,null
1637741300035,22.0,null
1637741301048,25.0,null
1637741302034,23.0,null
1637741303042,24.0,null
1637741304080,23.0,null
1637741305049,24.0,null
1637741306077,26.0,null
1637741307063,26.0,null
1637741308086,26.0,null
1637741309065,24.0,null
1637741310082,22.0,null
1637741311077,23.0,null
1637741312109,24.0,null
1637741313097,26.0,null
1637741314087,25.0,null
1637741315144,27.0,null
1637741316080,24.0,null
1637741317097,24.0,null
1637741318114,25.0,null
1637741319121,23.0,null
1637741320116,26.0,null
1637741321097,27.0,null
1637741322107,28.0,null
1637741323118,25.0,null
1637741324136,25.0,null
1637741325118,22.0,null
1637741326138,26.0,null
1637741327157,26.0,null
1637741328172,25.0,null
1637741329130,24.0,null
1637741330199,22.0,null
1637741331133,26.0,null
1637741332119,21.0,null
1637741333145,25.0,null
1637741334164,27.0,null
1637741335130,27.0,null
1637741336148,28.0,null
1637741337164,26.0,null
1637741338147,26.0,null
1637741339193,26.0,null
1637741340173,27.0,null
1637741341187,26.0,null
1637741342165,28.0,null
1637741343182,25.0,null
1637741344204,22.0,null
1637741345181,25.0,null
1637741346190,26.0,null
1637741347194,26.0,null
1637741348185,23.0,null
1637741349185,24.0,null
1637741350182,24.0,null
1637741351201,25.0,null
1637741352206,25.0,null
1637741353197,21.0,null
1637741354215,27.0,null
1637741355201,28.0,null
1637741356196,29.0,null
1637741357197,28.0,null
1637741358211,28.0,null
1637741359236,28.0,null
1637741360218,26.0,null
1637741361214,27.0,null
1637741362221,25.0,null
1637741363245,25.0,null
1637741364228,25.0,null
1637741365226,27.0,null
1637741366248,26.0,null
1637741367259,24.0,null
1637741368251,25.0,null
1637741369250,22.0,null
1637741370260,23.0,null
1637741371262,21.0,null
1637741372263,24.0,null
1637741373268,24.0,null
1637741374262,24.0,null
1637741375261,22.0,null
1637741376284,26.0,null
1637741377267,28.0,null
1637741378264,28.0,null
1637741379271,20.0,null
1637741380280,30.0,null
1637741381286,30.0,null
1637741382284,29.0,null
1637741383263,30.0,null
1637741384301,17.0,null
1637741385272,30.0,null
1637741386293,29.0,null
