RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637929052759,61.0,null
1637929053753,61.0,null
1637929054755,61.0,null
1637929055762,61.0,null
1637929056748,61.0,null
1637929057758,61.0,null
1637929058788,61.0,null
1637929059777,61.0,null
1637929060761,61.0,null
1637929061783,61.0,null
1637929062782,61.0,null
1637929063761,61.0,null
1637929064770,61.0,null
1637929065784,61.0,null
1637929066783,61.0,null
1637929067795,61.0,null
1637929068787,61.0,null
1637929069785,61.0,null
1637929070783,61.0,null
1637929071795,61.0,null
1637929072799,61.0,null
1637929073801,61.0,null
1637929074796,61.0,null
1637929075802,61.0,null
1637929076819,61.0,null
1637929077810,61.0,null
1637929078815,61.0,null
1637929079815,61.0,null
1637929080805,61.0,null
1637929081822,61.0,null
1637929082830,61.0,null
1637929083835,61.0,null
1637929084816,61.0,null
1637929085815,61.0,null
1637929086828,61.0,null
1637929087834,61.0,null
1637929088832,61.0,null
1637929089836,61.0,null
1637929090845,61.0,null
1637929091850,61.0,null
1637929092852,61.0,null
1637929093851,61.0,null
1637929094851,61.0,null
1637929095857,61.0,null
1637929096851,61.0,null
1637929097882,61.0,null
1637929098870,61.0,null
1637929099866,61.0,null
1637929100883,59.0,null
1637929101881,61.0,null
1637929102885,61.0,null
1637929103885,61.0,null
1637929104898,61.0,null
1637929105898,61.0,null
1637929106885,61.0,null
1637929107897,61.0,null
1637929108894,61.0,null
1637929109902,61.0,null
1637929110907,61.0,null
1637929111915,61.0,null
1637929112922,61.0,null
1637929113910,61.0,null
1637929114916,61.0,null
1637929115917,61.0,null
1637929116912,61.0,null
1637929117926,61.0,null
1637929118937,61.0,null
1637929119923,61.0,null
1637929120927,61.0,null
1637929121947,61.0,null
1637929122954,61.0,null
1637929123939,61.0,null
1637929124941,61.0,null
1637929125931,61.0,null
1637929126946,61.0,null
1637929127951,61.0,null
1637929128955,61.0,null
1637929129959,61.0,null
1637929130960,61.0,null
1637929131943,61.0,null
1637929132969,61.0,null
1637929133964,61.0,null
1637929134965,61.0,null
1637929135964,61.0,null
1637929136968,61.0,null
1637929137979,61.0,null
1637929138980,61.0,null
1637929139971,61.0,null
1637929140979,61.0,null
1637929141982,61.0,null
1637929142987,61.0,null
1637929143973,61.0,null
1637929144983,61.0,null
1637929145988,61.0,null
1637929146990,61.0,null
1637929147993,61.0,null
1637929149003,61.0,null
1637929150000,61.0,null
1637929150997,61.0,null
1637929152002,61.0,null
1637929153006,61.0,null
1637929153999,61.0,null
1637929155007,61.0,null
1637929156023,61.0,null
1637929157012,61.0,null
1637929158011,61.0,null
1637929159027,61.0,null
1637929160013,61.0,null
1637929161028,61.0,null
1637929162044,61.0,null
1637929163039,61.0,null
1637929164031,61.0,null
1637929165025,60.0,null
1637929166028,60.0,null
1637929167037,61.0,null
1637929168048,61.0,null
1637929169042,61.0,null
1637929170063,61.0,null
1637929171056,61.0,null
1637929172054,61.0,null
1637929173105,61.0,null
1637929174056,61.0,null
1637929175081,61.0,null
1637929176068,61.0,null
1637929177070,61.0,null
1637929178070,61.0,null
1637929179067,61.0,null
1637929180082,61.0,null
1637929181082,61.0,null
1637929182085,61.0,null
1637929183097,61.0,null
1637929184114,61.0,null
1637929185097,61.0,null
1637929186090,61.0,null
1637929187090,61.0,null
1637929188101,61.0,null
1637929189097,61.0,null
1637929190106,61.0,null
1637929191111,61.0,null
1637929192115,61.0,null
1637929193122,61.0,null
1637929194144,61.0,null
1637929195123,61.0,null
1637929196116,61.0,null
1637929197131,61.0,null
1637929198114,61.0,null
1637929199131,61.0,null
1637929200127,61.0,null
1637929201140,61.0,null
1637929202145,61.0,null
1637929203139,61.0,null
1637929204139,61.0,null
1637929205140,61.0,null
1637929206147,61.0,null
1637929207159,61.0,null
1637929208164,60.0,null
1637929209151,61.0,null
1637929210162,61.0,null
1637929211163,61.0,null
1637929212151,61.0,null
1637929213173,61.0,null
1637929214175,61.0,null
1637929215165,61.0,null
1637929216169,61.0,null
1637929217179,61.0,null
1637929218170,61.0,null
1637929219175,61.0,null
1637929220173,61.0,null
1637929221175,61.0,null
1637929222169,61.0,null
1637929223190,61.0,null
1637929224187,61.0,null
1637929225194,61.0,null
1637929226189,62.0,null
1637929227184,60.0,null
1637929228210,61.0,null
1637929229199,61.0,null
1637929230205,61.0,null
1637929231195,61.0,null
1637929232197,61.0,null
1637929233213,61.0,null
1637929234220,61.0,null
1637929235221,61.0,null
1637929236210,61.0,null
1637929237228,61.0,null
1637929238224,61.0,null
1637929239242,61.0,null
1637929240229,61.0,null
1637929241225,61.0,null
1637929242232,61.0,null
1637929243240,61.0,null
1637929244240,61.0,null
1637929245256,61.0,null
1637929246248,61.0,null
1637929247249,62.0,null
1637929248237,60.0,null
1637929249251,61.0,null
1637929250266,61.0,null
1637929251265,61.0,null
1637929252257,61.0,null
1637929253274,61.0,null
1637929254265,62.0,null
1637929255267,60.0,null
1637929256271,61.0,null
1637929257275,61.0,null
1637929258275,62.0,null
1637929259291,60.0,null
1637929260295,62.0,null
1637929261345,60.0,null
1637929262284,60.0,null
1637929263287,61.0,null
1637929264301,61.0,null
1637929265301,61.0,null
1637929266318,61.0,null
1637929267297,61.0,null
1637929268300,61.0,null
1637929269317,61.0,null
1637929270299,61.0,null
1637929271303,61.0,null
1637929272316,61.0,null
1637929273311,61.0,null
1637929274314,61.0,null
1637929275329,61.0,null
1637929276329,61.0,null
1637929277330,61.0,null
1637929278335,61.0,null
1637929279344,61.0,null
1637929280345,61.0,null
1637929281332,61.0,null
1637929282337,61.0,null
1637929283352,61.0,null
1637929284340,59.0,null
1637929285350,61.0,null
1637929286359,61.0,null
1637929287355,61.0,null
1637929288360,61.0,null
1637929289357,61.0,null
1637929290384,61.0,null
1637929291384,61.0,null
1637929292366,61.0,null
1637929293382,61.0,null
1637929294383,61.0,null
1637929295386,61.0,null
1637929296381,61.0,null
1637929297385,61.0,null
1637929298381,61.0,null
1637929299404,61.0,null
1637929300403,61.0,null
1637929301420,61.0,null
1637929302402,61.0,null
1637929303409,61.0,null
1637929304399,62.0,null
1637929305415,61.0,null
1637929306404,61.0,null
1637929307416,61.0,null
1637929308433,61.0,null
1637929309411,61.0,null
1637929310418,61.0,null
1637929311417,61.0,null
1637929312420,61.0,null
1637929313420,61.0,null
1637929314419,61.0,null
1637929315419,61.0,null
1637929316423,61.0,null
1637929317428,61.0,null
1637929318429,61.0,null
1637929319440,61.0,null
1637929320438,61.0,null
1637929321436,61.0,null
1637929322439,61.0,null
1637929323438,61.0,null
1637929324439,61.0,null
1637929325449,61.0,null
1637929326454,61.0,null
1637929327450,61.0,null
1637929328457,61.0,null
1637929329453,61.0,null
1637929330475,61.0,null
1637929331456,61.0,null
1637929332464,61.0,null
1637929333463,61.0,null
1637929334460,61.0,null
1637929335466,61.0,null
1637929336469,61.0,null
1637929337476,61.0,null
1637929338466,61.0,null
1637929339467,61.0,null
1637929340487,61.0,null
1637929341472,61.0,null
1637929342484,61.0,null
1637929343475,61.0,null
1637929344481,61.0,null
1637929345513,61.0,null
1637929346502,61.0,null
1637929347511,61.0,null
1637929348498,61.0,null
1637929349512,61.0,null
1637929350510,61.0,null
1637929351505,61.0,null
1637929352507,61.0,null
1637929353516,61.0,null
1637929354513,61.0,null
1637929355527,61.0,null
1637929356531,61.0,null
1637929357534,61.0,null
1637929358519,61.0,null
1637929359523,61.0,null
1637929360533,61.0,null
1637929361548,61.0,null
1637929362538,61.0,null
1637929363549,61.0,null
1637929364562,61.0,null
1637929365550,61.0,null
1637929366549,61.0,null
1637929367568,61.0,null
