RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637845878915,62.0,null
1637845879925,61.0,null
1637845880936,61.0,null
1637845881925,61.0,null
1637845882915,61.0,null
1637845883916,61.0,null
1637845884932,61.0,null
1637845885946,61.0,null
1637845886931,61.0,null
1637845887950,61.0,null
1637845888937,61.0,null
1637845889954,61.0,null
1637845890971,61.0,null
1637845891962,61.0,null
1637845892953,61.0,null
1637845893966,61.0,null
1637845894946,61.0,null
1637845895963,61.0,null
1637845896968,61.0,null
1637845897970,61.0,null
1637845898993,61.0,null
1637845899975,61.0,null
1637845900980,61.0,null
1637845901986,61.0,null
1637845902998,61.0,null
1637845904008,61.0,null
1637845904982,61.0,null
1637845905995,61.0,null
1637845906994,61.0,null
1637845907998,61.0,null
1637845908999,61.0,null
1637845909996,61.0,null
1637845911002,61.0,null
1637845912048,61.0,null
1637845913019,61.0,null
1637845914009,61.0,null
1637845915018,61.0,null
1637845916045,61.0,null
1637845917023,61.0,null
1637845918023,61.0,null
1637845919043,61.0,null
1637845920019,61.0,null
1637845921023,61.0,null
1637845922046,61.0,null
1637845923037,61.0,null
1637845924044,61.0,null
1637845925052,61.0,null
1637845926057,61.0,null
1637845927059,61.0,null
1637845928062,61.0,null
1637845929061,61.0,null
1637845930055,61.0,null
1637845931056,61.0,null
1637845932071,61.0,null
1637845933062,61.0,null
1637845934074,61.0,null
1637845935088,61.0,null
1637845936079,61.0,null
1637845937080,61.0,null
1637845938083,61.0,null
1637845939089,61.0,null
1637845940097,61.0,null
1637845941095,61.0,null
1637845942107,61.0,null
1637845943109,61.0,null
1637845944097,61.0,null
1637845945096,61.0,null
1637845946108,61.0,null
1637845947101,61.0,null
1637845948104,61.0,null
1637845949110,61.0,null
1637845950124,61.0,null
1637845951110,61.0,null
1637845952117,61.0,null
1637845953116,61.0,null
1637845954125,61.0,null
1637845955124,61.0,null
1637845956130,61.0,null
1637845957132,61.0,null
1637845958127,61.0,null
1637845959130,61.0,null
1637845960130,61.0,null
1637845961151,61.0,null
1637845962160,61.0,null
1637845963157,61.0,null
1637845964144,61.0,null
1637845965160,61.0,null
1637845966157,61.0,null
1637845967148,61.0,null
1637845968167,61.0,null
1637845969172,61.0,null
1637845970172,61.0,null
1637845971175,61.0,null
1637845972166,61.0,null
1637845973176,61.0,null
1637845974183,61.0,null
1637845975191,61.0,null
1637845976180,61.0,null
1637845977183,61.0,null
1637845978184,61.0,null
1637845979187,61.0,null
