RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637929848737,61.0,null
1637929849734,61.0,null
1637929850738,61.0,null
1637929851747,61.0,null
1637929852739,61.0,null
1637929853747,61.0,null
1637929854754,61.0,null
1637929855753,61.0,null
1637929856768,61.0,null
1637929857769,61.0,null
1637929858767,61.0,null
1637929859761,61.0,null
1637929860774,61.0,null
1637929861778,61.0,null
1637929862781,61.0,null
1637929863772,61.0,null
1637929864796,61.0,null
1637929865786,61.0,null
1637929866791,61.0,null
1637929867797,61.0,null
1637929868792,61.0,null
1637929869786,61.0,null
1637929870790,61.0,null
1637929871798,61.0,null
1637929872819,61.0,null
1637929873807,61.0,null
1637929874817,61.0,null
1637929875808,61.0,null
1637929876814,61.0,null
1637929877828,61.0,null
1637929878827,61.0,null
1637929879834,61.0,null
1637929880821,61.0,null
1637929881835,61.0,null
1637929882839,61.0,null
1637929883835,61.0,null
1637929884829,61.0,null
1637929885838,61.0,null
1637929886840,61.0,null
1637929887835,61.0,null
1637929888840,61.0,null
1637929889843,61.0,null
1637929890840,61.0,null
1637929891850,61.0,null
1637929892851,61.0,null
1637929893849,61.0,null
1637929894865,61.0,null
1637929895859,61.0,null
1637929896863,61.0,null
1637929897868,61.0,null
1637929898869,61.0,null
1637929899876,61.0,null
1637929900873,61.0,null
1637929901880,61.0,null
1637929902881,61.0,null
1637929903895,61.0,null
1637929904896,61.0,null
1637929905899,61.0,null
1637929906898,61.0,null
1637929907889,61.0,null
1637929908908,61.0,null
1637929909903,61.0,null
1637929910905,61.0,null
1637929911899,61.0,null
1637929912905,61.0,null
1637929913912,61.0,null
1637929914907,61.0,null
1637929915921,61.0,null
1637929916913,61.0,null
1637929917916,61.0,null
1637929918922,61.0,null
1637929919921,61.0,null
1637929920923,61.0,null
1637929921925,61.0,null
1637929922936,61.0,null
1637929923935,61.0,null
1637929924937,61.0,null
1637929925939,61.0,null
1637929926945,61.0,null
1637929927949,61.0,null
1637929928936,61.0,null
1637929929951,61.0,null
1637929930947,61.0,null
1637929931960,61.0,null
1637929932959,61.0,null
1637929933949,61.0,null
1637929934961,61.0,null
1637929935957,61.0,null
1637929936982,61.0,null
1637929937972,61.0,null
1637929938974,61.0,null
1637929939970,61.0,null
1637929940975,61.0,null
1637929941977,61.0,null
1637929942985,61.0,null
1637929943984,61.0,null
1637929944986,61.0,null
1637929945987,61.0,null
1637929947001,61.0,null
1637929947989,61.0,null
1637929949009,61.0,null
1637929949993,61.0,null
1637929950998,61.0,null
1637929952021,61.0,null
1637929953008,61.0,null
1637929954002,61.0,null
1637929955013,61.0,null
1637929956015,61.0,null
1637929957019,61.0,null
1637929958025,61.0,null
1637929959020,61.0,null
1637929960026,61.0,null
1637929961028,61.0,null
1637929962036,61.0,null
1637929963034,61.0,null
1637929964027,61.0,null
1637929965032,61.0,null
1637929966035,62.0,null
1637929967036,60.0,null
1637929968037,61.0,null
1637929969048,61.0,null
1637929970051,61.0,null
1637929971040,61.0,null
1637929972044,61.0,null
1637929973055,61.0,null
1637929974052,61.0,null
1637929975050,60.0,null
1637929976065,61.0,null
1637929977055,61.0,null
1637929978070,61.0,null
1637929979065,61.0,null
1637929980064,61.0,null
1637929981077,61.0,null
1637929982074,61.0,null
1637929983091,61.0,null
1637929984086,61.0,null
1637929985095,61.0,null
1637929986100,61.0,null
1637929987098,61.0,null
1637929988121,61.0,null
