RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637844458566,60.0,null
1637844459548,61.0,null
1637844460552,61.0,null
1637844461582,62.0,null
1637844462565,61.0,null
1637844463569,62.0,null
1637844464574,60.0,null
1637844465575,62.0,null
1637844466588,62.0,null
1637844467577,60.0,null
1637844468589,61.0,null
1637844469590,61.0,null
1637844470584,61.0,null
1637844471604,60.0,null
1637844472588,61.0,null
1637844473592,61.0,null
1637844474596,60.0,null
1637844475603,62.0,null
1637844476613,60.0,null
1637844477610,62.0,null
1637844478618,62.0,null
1637844479625,61.0,null
1637844480621,60.0,null
1637844481624,62.0,null
1637844482624,62.0,null
1637844483647,62.0,null
1637844484639,62.0,null
1637844485635,61.0,null
1637844486622,61.0,null
1637844487632,61.0,null
1637844488637,61.0,null
1637844489632,61.0,null
1637844490658,61.0,null
1637844491641,61.0,null
1637844492642,62.0,null
1637844493663,61.0,null
1637844494649,61.0,null
1637844495654,61.0,null
1637844496657,61.0,null
1637844497666,61.0,null
1637844498674,61.0,null
1637844499667,61.0,null
1637844500674,61.0,null
1637844501699,61.0,null
1637844502672,60.0,null
1637844503683,61.0,null
1637844504691,61.0,null
1637844505713,61.0,null
1637844506702,61.0,null
1637844507689,61.0,null
1637844508698,61.0,null
1637844509692,61.0,null
1637844510704,61.0,null
1637844511711,61.0,null
1637844512708,61.0,null
1637844513712,60.0,null
1637844514705,61.0,null
1637844515714,62.0,null
1637844516716,60.0,null
1637844517730,62.0,null
1637844518731,61.0,null
1637844519728,61.0,null
1637844520731,61.0,null
1637844521729,62.0,null
1637844522719,61.0,null
1637844523732,61.0,null
1637844524741,61.0,null
1637844525727,61.0,null
1637844526751,61.0,null
1637844527750,61.0,null
1637844528753,61.0,null
1637844529757,61.0,null
1637844530747,61.0,null
1637844531760,61.0,null
1637844532754,61.0,null
1637844533762,61.0,null
1637844534757,61.0,null
1637844535765,61.0,null
1637844536789,61.0,null
1637844537780,61.0,null
1637844538780,61.0,null
1637844539785,61.0,null
1637844540785,61.0,null
1637844541796,61.0,null
1637844542792,61.0,null
1637844543781,61.0,null
1637844544805,60.0,null
1637844545800,61.0,null
1637844546812,61.0,null
1637844547793,61.0,null
1637844548809,61.0,null
1637844549815,61.0,null
1637844550805,61.0,null
1637844551815,61.0,null
1637844552815,61.0,null
1637844553836,61.0,null
1637844554817,61.0,null
1637844555833,61.0,null
1637844556821,61.0,null
1637844557824,61.0,null
1637844558845,61.0,null
1637844559834,61.0,null
1637844560841,61.0,null
1637844561839,61.0,null
1637844562837,61.0,null
1637844563836,61.0,null
1637844564850,61.0,null
1637844565849,61.0,null
1637844566848,61.0,null
1637844567864,61.0,null
1637844568861,61.0,null
1637844569855,61.0,null
1637844570876,61.0,null
1637844571859,61.0,null
1637844572859,61.0,null
1637844573867,61.0,null
1637844574877,61.0,null
1637844575891,61.0,null
1637844576871,61.0,null
1637844577877,61.0,null
1637844578885,61.0,null
1637844579891,61.0,null
1637844580886,61.0,null
1637844581881,61.0,null
1637844582889,61.0,null
1637844583896,61.0,null
1637844584881,61.0,null
1637844585890,61.0,null
1637844586901,61.0,null
1637844587911,61.0,null
1637844588915,61.0,null
1637844589916,60.0,null
1637844590920,62.0,null
1637844591911,61.0,null
1637844592925,61.0,null
1637844593925,61.0,null
1637844594930,61.0,null
1637844595929,61.0,null
1637844596920,61.0,null
1637844597933,61.0,null
1637844598959,61.0,null
1637844599945,61.0,null
1637844600931,61.0,null
1637844601951,61.0,null
1637844602936,61.0,null
1637844603956,61.0,null
1637844604954,61.0,null
1637844605963,61.0,null
1637844606960,61.0,null
1637844607953,61.0,null
1637844608980,61.0,null
1637844609973,61.0,null
1637844610974,61.0,null
1637844611976,61.0,null
1637844612984,61.0,null
1637844613997,61.0,null
1637844614984,61.0,null
1637844615999,61.0,null
1637844616992,61.0,null
1637844618014,61.0,null
1637844619013,61.0,null
1637844619996,61.0,null
