RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637954829514,10.0,null
1637954830499,11.0,null
1637954831500,12.0,null
1637954832511,9.0,null
1637954833502,9.0,null
1637954834513,7.0,null
1637954835507,12.0,null
1637954836517,13.0,null
1637954837512,11.0,null
1637954838526,9.0,null
1637954839529,11.0,null
1637954840529,12.0,null
1637954841532,14.0,null
1637954842514,11.0,null
1637954843525,10.0,null
1637954844525,11.0,null
1637954845527,10.0,null
1637954846542,10.0,null
1637954847542,10.0,null
1637954848547,11.0,null
1637954849549,10.0,null
1637954850536,11.0,null
1637954851558,11.0,null
1637954852552,10.0,null
1637954853563,14.0,null
1637954854545,15.0,null
1637954855561,12.0,null
1637954856564,10.0,null
1637954857556,11.0,null
1637954858557,11.0,null
1637954859566,11.0,null
1637954860571,11.0,null
1637954861574,12.0,null
1637954862564,14.0,null
1637954863568,14.0,null
1637954864566,12.0,null
1637954865560,12.0,null
1637954866588,11.0,null
1637954867585,8.0,null
1637954868574,10.0,null
1637954869587,10.0,null
1637954870594,13.0,null
1637954871592,12.0,null
1637954872581,11.0,null
1637954873582,13.0,null
1637954874599,13.0,null
1637954875598,11.0,null
1637954876602,13.0,null
1637954877608,13.0,null
1637954878602,11.0,null
1637954879617,13.0,null
1637954880615,12.0,null
1637954881622,11.0,null
1637954882621,12.0,null
1637954883611,14.0,null
1637954884628,14.0,null
1637954885654,13.0,null
1637954886648,13.0,null
1637954887628,14.0,null
1637954888634,14.0,null
1637954889637,14.0,null
1637954890650,14.0,null
1637954891630,12.0,null
1637954892644,14.0,null
1637954893648,15.0,null
1637954894636,13.0,null
1637954895650,13.0,null
1637954896644,11.0,null
1637954897642,10.0,null
1637954898655,13.0,null
1637954899658,12.0,null
1637954900660,13.0,null
1637954901651,15.0,null
1637954902670,15.0,null
1637954903662,13.0,null
1637954904659,15.0,null
1637954905671,14.0,null
1637954906670,13.0,null
1637954907673,13.0,null
1637954908674,11.0,null
1637954909667,13.0,null
1637954910678,13.0,null
1637954911671,12.0,null
1637954912686,13.0,null
1637954913691,12.0,null
1637954914678,12.0,null
1637954915691,12.0,null
1637954916693,12.0,null
1637954917695,12.0,null
1637954918687,13.0,null
1637954919700,13.0,null
1637954920704,11.0,null
1637954921694,12.0,null
1637954922705,13.0,null
1637954923709,10.0,null
1637954924710,11.0,null
1637954925715,12.0,null
1637954926704,11.0,null
1637954927703,9.0,null
1637954928719,11.0,null
1637954929721,10.0,null
1637954930724,10.0,null
1637954931715,10.0,null
1637954932727,10.0,null
1637954933719,10.0,null
1637954934733,11.0,null
1637954935737,9.0,null
1637954936742,9.0,null
1637954937728,11.0,null
1637954938730,10.0,null
1637954939741,10.0,null
1637954940746,8.0,null
1637954941741,8.0,null
1637954942749,9.0,null
1637954943751,12.0,null
1637954944750,12.0,null
1637954945778,12.0,null
1637954946766,12.0,null
1637954947776,12.0,null
1637954948775,12.0,null
1637954949763,12.0,null
1637954950766,11.0,null
1637954951778,12.0,null
1637954952785,11.0,null
1637954953786,11.0,null
1637954954790,10.0,null
1637954955783,10.0,null
1637954956782,10.0,null
1637954957794,10.0,null
1637954958813,4.0,null
1637954959807,10.0,null
1637954960803,12.0,null
1637954961802,12.0,null
1637954962810,3.0,null
1637954963813,5.0,null
1637954964816,9.0,null
1637954965812,8.0,null
1637954966810,10.0,null
1637954967830,12.0,null
1637954968818,10.0,null
1637954969818,12.0,null
1637954970825,13.0,null
1637954971821,11.0,null
1637954972835,11.0,null
1637954973830,9.0,null
1637954974834,11.0,null
1637954975831,10.0,null
1637954976837,12.0,null
1637954977836,11.0,null
1637954978843,9.0,null
1637954979843,11.0,null
1637954980834,10.0,null
1637954981848,9.0,null
1637954982849,11.0,null
1637954983860,11.0,null
1637954984845,12.0,null
1637954985863,10.0,null
1637954986868,11.0,null
1637954987865,7.0,null
1637954988866,10.0,null
1637954989869,11.0,null
1637954990873,10.0,null
1637954991866,10.0,null
1637954992876,9.0,null
1637954993867,10.0,null
1637954994881,11.0,null
1637954995875,12.0,null
1637954996884,10.0,null
1637954997875,12.0,null
1637954998888,11.0,null
1637954999889,10.0,null
1637955000872,11.0,null
1637955001895,9.0,null
1637955002897,10.0,null
1637955003897,10.0,null
1637955004898,10.0,null
1637955005902,13.0,null
1637955006902,10.0,null
1637955007906,8.0,null
1637955008932,9.0,null
1637955009945,5.0,null
1637955010895,8.0,null
1637955011904,11.0,null
1637955012919,6.0,null
1637955013925,7.0,null
1637955014909,19.0,null
1637955015923,24.0,null
