RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637984452687,61.0,null
1637984453699,62.0,null
1637984454710,61.0,null
1637984455693,61.0,null
1637984456698,61.0,null
1637984457710,61.0,null
1637984458694,61.0,null
1637984459695,61.0,null
1637984460707,61.0,null
1637984461711,61.0,null
1637984462703,61.0,null
1637984463710,61.0,null
1637984464718,61.0,null
1637984465712,61.0,null
1637984466727,61.0,null
1637984467726,61.0,null
1637984468736,61.0,null
1637984469731,61.0,null
1637984470745,61.0,null
1637984471731,61.0,null
1637984472734,61.0,null
1637984473728,61.0,null
1637984474742,56.0,null
1637984475734,59.0,null
1637984476748,61.0,null
1637984477743,61.0,null
1637984478742,61.0,null
1637984479745,61.0,null
1637984480759,61.0,null
1637984481743,61.0,null
1637984482759,61.0,null
1637984483765,61.0,null
1637984484764,61.0,null
1637984485764,61.0,null
1637984486760,61.0,null
1637984487753,61.0,null
1637984488774,61.0,null
1637984489775,61.0,null
1637984490774,61.0,null
1637984491764,61.0,null
1637984492770,61.0,null
1637984493788,61.0,null
1637984494773,61.0,null
1637984495791,61.0,null
1637984496772,61.0,null
1637984497795,61.0,null
1637984498787,61.0,null
1637984499794,61.0,null
1637984500781,61.0,null
1637984501799,61.0,null
1637984502794,61.0,null
1637984503794,61.0,null
1637984504818,61.0,null
1637984505795,61.0,null
1637984506801,61.0,null
1637984507810,61.0,null
1637984508805,61.0,null
1637984509822,61.0,null
1637984510826,61.0,null
1637984511808,61.0,null
1637984512819,61.0,null
1637984513825,61.0,null
1637984514820,61.0,null
1637984515821,61.0,null
1637984516828,61.0,null
1637984517837,61.0,null
1637984518833,61.0,null
1637984519839,61.0,null
1637984520834,61.0,null
1637984521852,61.0,null
1637984522846,61.0,null
1637984523845,61.0,null
1637984524855,61.0,null
1637984525856,61.0,null
1637984526860,61.0,null
1637984527860,61.0,null
1637984528855,61.0,null
1637984529864,61.0,null
1637984530863,61.0,null
1637984531858,61.0,null
1637984532871,61.0,null
1637984533863,61.0,null
1637984534876,61.0,null
1637984535873,61.0,null
1637984536863,61.0,null
1637984537879,61.0,null
1637984538896,61.0,null
1637984539886,61.0,null
1637984540888,61.0,null
1637984541888,61.0,null
1637984542888,61.0,null
1637984543890,61.0,null
1637984544902,61.0,null
1637984545912,61.0,null
1637984546911,61.0,null
1637984547907,61.0,null
1637984548913,61.0,null
1637984549917,61.0,null
1637984550932,61.0,null
1637984551908,61.0,null
1637984552919,61.0,null
1637984553930,61.0,null
1637984554932,61.0,null
1637984555929,61.0,null
1637984556929,61.0,null
1637984557939,61.0,null
1637984558929,61.0,null
1637984559916,61.0,null
1637984560945,61.0,null
1637984561923,61.0,null
1637984562943,61.0,null
1637984563943,61.0,null
1637984564927,61.0,null
1637984565942,61.0,null
1637984566927,61.0,null
1637984567953,61.0,null
1637984568942,61.0,null
1637984569949,61.0,null
1637984570963,47.0,null
1637984571956,61.0,null
1637984572961,61.0,null
1637984573963,61.0,null
1637984574949,61.0,null
1637984575969,61.0,null
1637984576979,61.0,null
1637984577971,61.0,null
1637984578965,61.0,null
1637984579977,61.0,null
1637984580969,61.0,null
1637984581981,61.0,null
1637984582973,61.0,null
1637984583968,59.0,null
1637984584978,59.0,null
1637984585975,61.0,null
1637984586986,61.0,null
1637984587990,61.0,null
1637984588995,61.0,null
1637984589994,61.0,null
1637984590997,61.0,null
1637984591989,61.0,null
1637984593015,61.0,null
1637984593998,61.0,null
1637984594997,61.0,null
1637984596010,61.0,null
1637984596999,61.0,null
1637984598003,61.0,null
1637984599017,61.0,null
1637984600020,61.0,null
1637984601012,61.0,null
1637984602024,61.0,null
1637984603019,61.0,null
1637984604025,61.0,null
1637984605022,61.0,null
1637984606032,61.0,null
1637984607028,61.0,null
1637984608017,61.0,null
1637984609028,61.0,null
1637984610033,61.0,null
1637984611029,61.0,null
1637984612030,61.0,null
1637984613048,61.0,null
1637984614047,61.0,null
1637984615052,61.0,null
1637984616052,61.0,null
1637984617052,61.0,null
1637984618047,61.0,null
1637984619059,61.0,null
1637984620050,61.0,null
1637984621064,61.0,null
1637984622064,61.0,null
1637984623062,61.0,null
1637984624066,61.0,null
1637984625063,61.0,null
1637984626065,61.0,null
1637984627062,61.0,null
