RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637982898600,62.0,null
1637982899576,61.0,null
1637982900583,61.0,null
1637982901566,61.0,null
1637982902603,61.0,null
1637982903591,61.0,null
1637982904594,61.0,null
1637982905602,62.0,null
1637982906588,60.0,null
1637982907593,62.0,null
1637982908615,61.0,null
1637982909594,62.0,null
1637982910614,62.0,null
1637982911615,61.0,null
1637982912607,62.0,null
1637982913624,61.0,null
1637982914621,61.0,null
1637982915634,61.0,null
1637982916631,61.0,null
1637982917651,61.0,null
1637982918649,61.0,null
1637982919639,61.0,null
1637982920631,62.0,null
1637982921661,61.0,null
1637982922659,61.0,null
1637982923651,61.0,null
1637982924665,61.0,null
1637982925653,61.0,null
1637982926675,61.0,null
1637982927674,62.0,null
1637982928699,61.0,null
1637982929680,62.0,null
1637982930674,61.0,null
1637982931679,61.0,null
1637982932686,61.0,null
1637982933689,61.0,null
1637982934697,61.0,null
1637982935698,61.0,null
1637982936696,61.0,null
1637982937689,61.0,null
1637982938715,61.0,null
1637982939706,61.0,null
1637982940701,61.0,null
1637982941718,61.0,null
1637982942727,61.0,null
1637982943710,61.0,null
1637982944715,61.0,null
1637982945733,61.0,null
1637982946736,61.0,null
1637982947734,61.0,null
1637982948735,61.0,null
1637982949730,61.0,null
1637982950760,61.0,null
1637982951750,62.0,null
1637982952745,61.0,null
1637982953734,61.0,null
1637982954741,62.0,null
1637982955748,61.0,null
1637982956770,61.0,null
1637982957749,61.0,null
1637982958732,62.0,null
1637982959743,61.0,null
1637982960741,61.0,null
1637982961750,61.0,null
1637982962750,61.0,null
1637982963789,61.0,null
1637982964778,61.0,null
1637982965790,61.0,null
1637982966749,61.0,null
1637982967783,61.0,null
1637982968785,61.0,null
1637982969779,61.0,null
1637982970777,61.0,null
1637982971807,61.0,null
1637982972820,61.0,null
1637982973798,61.0,null
1637982974801,61.0,null
1637982975847,60.0,null
1637982976832,61.0,null
1637982977831,61.0,null
1637982978819,61.0,null
1637982979813,61.0,null
1637982980804,60.0,null
1637982981831,61.0,null
1637982982824,61.0,null
1637982983818,62.0,null
1637982984839,62.0,null
1637982985837,61.0,null
1637982986860,60.0,null
1637982987852,61.0,null
1637982988830,61.0,null
1637982989854,60.0,null
1637982990852,61.0,null
1637982991852,62.0,null
1637982992852,61.0,null
1637982993842,62.0,null
1637982994864,60.0,null
1637982995868,61.0,null
1637982996879,60.0,null
1637982997883,62.0,null
1637982998857,62.0,null
1637982999887,60.0,null
1637983000867,62.0,null
1637983001881,60.0,null
1637983002874,61.0,null
1637983003890,60.0,null
1637983004899,61.0,null
1637983005899,60.0,null
1637983006915,61.0,null
1637983007888,62.0,null
1637983008914,61.0,null
1637983009919,61.0,null
1637983010908,61.0,null
1637983011917,61.0,null
1637983012917,62.0,null
1637983013901,61.0,null
1637983014905,61.0,null
1637983015900,62.0,null
1637983016927,60.0,null
1637983017913,61.0,null
1637983018920,62.0,null
1637983019937,61.0,null
1637983020932,62.0,null
1637983021951,61.0,null
1637983022938,62.0,null
1637983023932,60.0,null
1637983024962,62.0,null
1637983025953,61.0,null
1637983026969,61.0,null
1637983027956,62.0,null
1637983028982,61.0,null
1637983029959,61.0,null
1637983030987,61.0,null
1637983031958,61.0,null
1637983032970,61.0,null
1637983033965,61.0,null
1637983034972,61.0,null
1637983035956,60.0,null
1637983036973,62.0,null
1637983037980,61.0,null
1637983038967,61.0,null
1637983039974,61.0,null
1637983040996,61.0,null
1637983041980,62.0,null
1637983042988,61.0,null
1637983043993,61.0,null
1637983045013,61.0,null
1637983046000,61.0,null
1637983046987,61.0,null
1637983048001,61.0,null
1637983048998,61.0,null
1637983050008,61.0,null
1637983051013,61.0,null
1637983052012,60.0,null
1637983053024,62.0,null
1637983054019,61.0,null
1637983055038,61.0,null
1637983056007,61.0,null
1637983057025,61.0,null
1637983058052,61.0,null
1637983059048,61.0,null
1637983060042,61.0,null
1637983061039,61.0,null
1637983062036,61.0,null
1637983063046,61.0,null
1637983064056,61.0,null
1637983065042,61.0,null
1637983066030,61.0,null
1637983067040,60.0,null
1637983068057,61.0,null
1637983069048,61.0,null
1637983070074,62.0,null
1637983071067,61.0,null
1637983072072,61.0,null
1637983073062,61.0,null
1637983074056,61.0,null
1637983075104,60.0,null
1637983076087,61.0,null
1637983077066,61.0,null
1637983078090,61.0,null
1637983079097,61.0,null
1637983080124,61.0,null
1637983081102,61.0,null
1637983082108,61.0,null
1637983083091,61.0,null
1637983084091,61.0,null
1637983085113,61.0,null
1637983086105,62.0,null
1637983087115,61.0,null
1637983088127,60.0,null
1637983089116,61.0,null
1637983090121,61.0,null
1637983091116,61.0,null
1637983092115,61.0,null
1637983093129,61.0,null
1637983094123,61.0,null
1637983095140,60.0,null
1637983096137,61.0,null
1637983097117,61.0,null
1637983098150,61.0,null
1637983099166,61.0,null
1637983100138,61.0,null
1637983101167,61.0,null
1637983102150,61.0,null
1637983103153,60.0,null
1637983104159,61.0,null
1637983105169,61.0,null
1637983106157,61.0,null
1637983107166,61.0,null
1637983108211,61.0,null
1637983109181,61.0,null
1637983110205,61.0,null
