RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637725617540,26.0,null
1637725618522,24.0,null
1637725619511,25.0,null
1637725620514,25.0,null
1637725621546,28.0,null
1637725622555,25.0,null
1637725623526,14.0,null
1637725624564,13.0,null
1637725625541,17.0,null
1637725626570,23.0,null
1637725627549,26.0,null
1637725628570,24.0,null
1637725629556,26.0,null
1637725630559,25.0,null
1637725631555,25.0,null
1637725632559,25.0,null
1637725633574,26.0,null
1637725634573,27.0,null
1637725635568,26.0,null
1637725636572,27.0,null
1637725637620,25.0,null
1637725638590,28.0,null
1637725639566,23.0,null
1637725640571,19.0,null
1637725641586,22.0,null
1637725642599,23.0,null
1637725643612,25.0,null
1637725644636,26.0,null
1637725645620,25.0,null
1637725646605,28.0,null
1637725647625,30.0,null
1637725648597,27.0,null
1637725649601,30.0,null
1637725650622,22.0,null
1637725651599,27.0,null
1637725652628,26.0,null
1637725653618,27.0,null
1637725654614,25.0,null
1637725655628,24.0,null
1637725656631,24.0,null
1637725657633,24.0,null
1637725658631,23.0,null
1637725659631,26.0,null
1637725660654,29.0,null
1637725661650,23.0,null
1637725662646,19.0,null
1637725663656,16.0,null
1637725664667,18.0,null
1637725665650,19.0,null
1637725666668,19.0,null
1637725667673,24.0,null
1637725669683,27.0,null
1637725670669,29.0,null
1637725671676,26.0,null
1637725672678,27.0,null
1637725673665,22.0,null
1637725674677,19.0,null
1637725675680,22.0,null
1637725676686,23.0,null
1637725677679,26.0,null
1637725678691,21.0,null
1637725679702,25.0,null
1637725680685,27.0,null
1637725681678,28.0,null
1637725682712,27.0,null
1637725683698,26.0,null
1637725684692,22.0,null
1637725685683,21.0,null
1637725686700,20.0,null
1637725687726,28.0,null
1637725688716,26.0,null
1637725689718,28.0,null
1637725690707,27.0,null
1637725691718,26.0,null
1637725692740,28.0,null
1637725693722,26.0,null
1637725694720,26.0,null
1637725695733,25.0,null
1637725696713,26.0,null
1637725697724,25.0,null
1637725698735,25.0,null
1637725699743,26.0,null
1637725700743,26.0,null
1637725701743,28.0,null
1637725702750,27.0,null
1637725703759,27.0,null
1637725704746,27.0,null
1637725705765,29.0,null
1637725706751,19.0,null
1637725707743,17.0,null
1637725708766,23.0,null
1637725709753,18.0,null
1637725710756,18.0,null
1637725711760,18.0,null
1637725712762,23.0,null
1637725713760,22.0,null
1637725714762,22.0,null
1637725715790,23.0,null
1637725716784,23.0,null
1637725717782,22.0,null
1637725718776,25.0,null
1637725719776,24.0,null
1637725720785,24.0,null
1637725721778,24.0,null
1637725722813,22.0,null
1637725723805,21.0,null
1637725724796,22.0,null
1637725725799,22.0,null
1637725726802,20.0,null
1637725727790,25.0,null
1637725728803,5.0,null
1637725729806,23.0,null
1637725730810,24.0,null
1637725731818,21.0,null
1637725732816,22.0,null
1637725733805,22.0,null
1637725734820,22.0,null
1637725735814,23.0,null
1637725736836,22.0,null
1637725737829,24.0,null
1637725738852,23.0,null
1637725739828,20.0,null
1637725740831,23.0,null
1637725741835,18.0,null
1637725742843,24.0,null
1637725743845,23.0,null
1637725744839,22.0,null
1637725745854,22.0,null
1637725746852,19.0,null
1637725747865,21.0,null
1637725748857,14.0,null
1637725749855,16.0,null
1637725750847,17.0,null
1637725751874,18.0,null
1637725752885,18.0,null
1637725753869,17.0,null
1637725754882,14.0,null
1637725755869,23.0,null
1637725756870,12.0,null
