RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637898905544,61.0,null
1637898906546,61.0,null
1637898907536,61.0,null
1637898908546,61.0,null
1637898909534,61.0,null
1637898910536,61.0,null
1637898911532,61.0,null
1637898912553,61.0,null
1637898913539,22.0,null
1637898914530,61.0,null
1637898915533,61.0,null
1637898916541,52.0,null
1637898917533,61.0,null
1637898918553,61.0,null
1637898919542,61.0,null
1637898920552,61.0,null
1637898921553,61.0,null
1637898922535,61.0,null
1637898923551,61.0,null
1637898924570,61.0,null
1637898925551,61.0,null
1637898926538,61.0,null
1637898927564,61.0,null
1637898928553,61.0,null
1637898929549,61.0,null
1637898930545,61.0,null
1637898931548,61.0,null
1637898932567,61.0,null
1637898933569,61.0,null
1637898934555,61.0,null
1637898935565,61.0,null
1637898936568,61.0,null
1637898937551,61.0,null
1637898938556,61.0,null
1637898939556,61.0,null
1637898940551,61.0,null
1637898941571,61.0,null
1637898942552,61.0,null
1637898943561,61.0,null
1637898944560,61.0,null
1637898945552,61.0,null
1637898946554,61.0,null
1637898947571,61.0,null
1637898948570,61.0,null
1637898949566,61.0,null
1637898950566,61.0,null
1637898951566,61.0,null
1637898952568,61.0,null
1637898954563,61.0,null
1637898955566,61.0,null
1637898956571,61.0,null
1637898957571,61.0,null
1637898958569,61.0,null
1637898959568,61.0,null
1637898960567,61.0,null
1637898961579,61.0,null
1637898962568,61.0,null
1637898963580,61.0,null
1637898964585,61.0,null
1637898965581,61.0,null
1637898966569,61.0,null
1637898967584,61.0,null
1637898968575,61.0,null
1637898969583,61.0,null
1637898970582,61.0,null
1637898971571,61.0,null
1637898972585,61.0,null
1637898973585,61.0,null
1637898974576,61.0,null
1637898975587,61.0,null
1637898976599,61.0,null
1637898977576,61.0,null
1637898978579,61.0,null
1637898979578,61.0,null
1637898980582,61.0,null
1637898981588,61.0,null
1637898982579,61.0,null
1637898983592,61.0,null
1637898984583,61.0,null
1637898985592,61.0,null
1637898986583,61.0,null
1637898987583,61.0,null
1637898988596,61.0,null
1637898989598,61.0,null
1637898990596,61.0,null
1637898991600,61.0,null
1637898992601,61.0,null
1637898993605,61.0,null
1637898994601,61.0,null
1637898995603,61.0,null
1637898996602,61.0,null
1637898997602,61.0,null
1637898998594,61.0,null
1637898999596,61.0,null
1637899000603,61.0,null
1637899001599,61.0,null
1637899002601,61.0,null
1637899003605,61.0,null
1637899004596,61.0,null
1637899005599,61.0,null
1637899006598,61.0,null
1637899007608,61.0,null
1637899008621,61.0,null
1637899009600,61.0,null
1637899010604,61.0,null
1637899011602,61.0,null
1637899012615,61.0,null
1637899013614,49.0,null
1637899014603,61.0,null
1637899015618,61.0,null
1637899016608,61.0,null
1637899017612,61.0,null
1637899018608,61.0,null
1637899019608,61.0,null
1637899020613,61.0,null
1637899021625,61.0,null
1637899022614,61.0,null
1637899023614,61.0,null
1637899024613,61.0,null
1637899025615,61.0,null
1637899026616,61.0,null
1637899027625,61.0,null
1637899028625,61.0,null
1637899029615,61.0,null
1637899030618,61.0,null
1637899031618,61.0,null
1637899032641,61.0,null
1637899033619,61.0,null
1637899034620,61.0,null
1637899035620,61.0,null
1637899036630,61.0,null
1637899037625,61.0,null
1637899038643,61.0,null
1637899039621,61.0,null
