RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637865720856,14.0,null
1637865721864,15.0,null
1637865722871,14.0,null
1637865723879,14.0,null
1637865724874,15.0,null
1637865725887,16.0,null
1637865726890,15.0,null
1637865727883,13.0,null
1637865728890,16.0,null
1637865729888,17.0,null
1637865730892,18.0,null
1637865731900,18.0,null
1637865732891,16.0,null
1637865733907,17.0,null
1637865734890,17.0,null
1637865735894,9.0,null
1637865736924,11.0,null
1637865737906,11.0,null
1637865738919,15.0,null
1637865739924,15.0,null
1637865740919,12.0,null
1637865741920,12.0,null
1637865742926,11.0,null
1637865743922,7.0,null
1637865744932,7.0,null
1637865745942,10.0,null
1637865746939,11.0,null
1637865747939,9.0,null
1637865748949,13.0,null
1637865749940,13.0,null
1637865750940,13.0,null
1637865751946,12.0,null
1637865752961,13.0,null
1637865753944,11.0,null
1637865754964,12.0,null
1637865755965,13.0,null
1637865756966,10.0,null
1637865757961,11.0,null
1637865758975,10.0,null
1637865759978,10.0,null
1637865760967,14.0,null
1637865761992,15.0,null
1637865762984,14.0,null
1637865763978,15.0,null
1637865764979,16.0,null
1637865765993,15.0,null
1637865766984,15.0,null
1637865767974,16.0,null
1637865768998,15.0,null
1637865770002,14.0,null
1637865770998,14.0,null
1637865772011,14.0,null
1637865772999,15.0,null
1637865773998,15.0,null
1637865775019,14.0,null
1637865776022,13.0,null
1637865777013,11.0,null
1637865778032,11.0,null
1637865779031,13.0,null
1637865780036,13.0,null
1637865781035,14.0,null
1637865782039,11.0,null
1637865783030,14.0,null
1637865784035,12.0,null
1637865785049,14.0,null
1637865786039,12.0,null
1637865787046,9.0,null
1637865788060,9.0,null
1637865789061,10.0,null
1637865790054,11.0,null
1637865791069,12.0,null
1637865792061,12.0,null
1637865793076,12.0,null
1637865794078,13.0,null
1637865795068,12.0,null
1637865796144,11.0,null
1637865797088,11.0,null
1637865798089,12.0,null
1637865799092,14.0,null
1637865800090,14.0,null
1637865801083,14.0,null
1637865802103,14.0,null
1637865803102,12.0,null
1637865804092,14.0,null
1637865805113,13.0,null
1637865806108,12.0,null
1637865807116,11.0,null
1637865808106,10.0,null
1637865809124,11.0,null
1637865810113,12.0,null
1637865811116,12.0,null
1637865812128,12.0,null
1637865813117,13.0,null
1637865814130,14.0,null
1637865815123,13.0,null
1637865816134,12.0,null
1637865817139,12.0,null
1637865818136,11.0,null
1637865819142,13.0,null
1637865820147,12.0,null
1637865821151,11.0,null
1637865822139,9.0,null
1637865823152,11.0,null
1637865824154,12.0,null
1637865825162,13.0,null
1637865826161,15.0,null
1637865827176,15.0,null
1637865828158,18.0,null
1637865829154,19.0,null
1637865830167,18.0,null
1637865831163,18.0,null
1637865832165,19.0,null
1637865833169,18.0,null
1637865834174,16.0,null
1637865835170,16.0,null
1637865836164,15.0,null
1637865837191,13.0,null
1637865838191,13.0,null
1637865839180,14.0,null
1637865840190,15.0,null
1637865841174,14.0,null
1637865842192,15.0,null
1637865843211,15.0,null
1637865844218,15.0,null
1637865845200,16.0,null
1637865846209,16.0,null
1637865847219,12.0,null
1637865848228,12.0,null
1637865850224,14.0,null
1637865851217,14.0,null
1637865852236,13.0,null
1637865853251,10.0,null
1637865854229,14.0,null
1637865855230,12.0,null
1637865856240,12.0,null
1637865857247,12.0,null
1637865858264,13.0,null
1637865859250,12.0,null
1637865860250,13.0,null
1637865861244,12.0,null
1637865862263,11.0,null
1637865863273,12.0,null
1637865864266,12.0,null
1637865865270,13.0,null
1637865866271,13.0,null
1637865867262,13.0,null
1637865868275,12.0,null
1637865869278,13.0,null
1637865870270,13.0,null
1637865871295,13.0,null
1637865872273,14.0,null
1637865873300,14.0,null
1637865874274,13.0,null
1637865875288,12.0,null
1637865876304,12.0,null
1637865877357,11.0,null
1637865878308,10.0,null
1637865879306,13.0,null
1637865880302,16.0,null
1637865881310,15.0,null
1637865882296,13.0,null
1637865883315,14.0,null
1637865884322,13.0,null
1637865885312,15.0,null
1637865886325,17.0,null
1637865887326,15.0,null
1637865888328,15.0,null
1637865889339,12.0,null
1637865890339,14.0,null
