RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637723892732,12.0,null
1637723893733,12.0,null
1637723894715,13.0,null
1637723895726,12.0,null
1637723896727,13.0,null
1637723897722,13.0,null
1637723898742,14.0,null
1637723899732,13.0,null
1637723900751,14.0,null
1637723901755,14.0,null
1637723902754,14.0,null
1637723903763,14.0,null
1637723904771,15.0,null
1637723905755,14.0,null
1637723906780,14.0,null
1637723907778,15.0,null
1637723908765,11.0,null
1637723909786,12.0,null
1637723910773,12.0,null
1637723911799,13.0,null
1637723912799,13.0,null
1637723913778,13.0,null
1637723914793,13.0,null
1637723915812,12.0,null
1637723916797,13.0,null
1637723917789,11.0,null
1637723918798,6.0,null
1637723919807,8.0,null
1637723920814,8.0,null
1637723921824,7.0,null
1637723922874,8.0,null
1637723923882,6.0,null
1637723924810,5.0,null
1637723925841,10.0,null
1637723926810,10.0,null
1637723927825,10.0,null
1637723928827,11.0,null
1637723929831,11.0,null
1637723930845,12.0,null
1637723931829,12.0,null
1637723932854,11.0,null
1637723933859,9.0,null
1637723934851,9.0,null
1637723935850,10.0,null
1637723936846,11.0,null
1637723937865,10.0,null
1637723938866,10.0,null
1637723939850,11.0,null
1637723940852,11.0,null
1637723941867,10.0,null
1637723942880,11.0,null
1637723943881,11.0,null
1637723944881,11.0,null
1637723945881,10.0,null
1637723946865,10.0,null
1637723947897,10.0,null
1637723948879,11.0,null
1637723949894,11.0,null
1637723950898,13.0,null
1637723951903,14.0,null
1637723952905,14.0,null
1637723953908,13.0,null
1637723954911,12.0,null
1637723955907,13.0,null
1637723956918,12.0,null
1637723957916,13.0,null
1637723958914,13.0,null
1637723959922,14.0,null
1637723960931,13.0,null
1637723962943,13.0,null
1637723963925,13.0,null
1637723964935,12.0,null
1637723965944,13.0,null
1637723966951,13.0,null
1637723967952,11.0,null
1637723968963,11.0,null
1637723969946,10.0,null
1637723970945,10.0,null
1637723971945,11.0,null
1637723972964,11.0,null
1637723973961,10.0,null
1637723974968,12.0,null
1637723975982,13.0,null
1637723976984,13.0,null
1637723977975,13.0,null
1637723978998,13.0,null
1637723979981,11.0,null
1637723980981,10.0,null
1637723982005,10.0,null
1637723983008,9.0,null
1637723984013,8.0,null
1637723985031,8.0,null
1637723985997,10.0,null
1637723987012,11.0,null
1637723988030,11.0,null
1637723989018,10.0,null
1637723990022,13.0,null
1637723991025,14.0,null
1637723992034,13.0,null
1637723993036,12.0,null
1637723994050,12.0,null
1637723995030,13.0,null
1637723996037,12.0,null
1637723997026,12.0,null
1637723998040,12.0,null
1637723999046,12.0,null
1637724000053,11.0,null
1637724001053,11.0,null
1637724002055,10.0,null
1637724003042,11.0,null
1637724004069,12.0,null
1637724005043,13.0,null
1637724006036,12.0,null
1637724007050,12.0,null
1637724008056,10.0,null
1637724009078,11.0,null
1637724010061,13.0,null
1637724011049,12.0,null
1637724012077,11.0,null
1637724013088,10.0,null
1637724014082,11.0,null
1637724015067,11.0,null
1637724016068,11.0,null
1637724017074,10.0,null
1637724018077,11.0,null
1637724019097,13.0,null
1637724020109,12.0,null
1637724021105,13.0,null
1637724022098,13.0,null
1637724023106,13.0,null
1637724024096,13.0,null
1637724025103,13.0,null
1637724026109,13.0,null
1637724027116,13.0,null
1637724028136,13.0,null
1637724029120,13.0,null
1637724030132,14.0,null
1637724031127,14.0,null
1637724032153,14.0,null
1637724033142,14.0,null
1637724034132,17.0,null
1637724035154,16.0,null
1637724036139,16.0,null
1637724037155,17.0,null
1637724038164,17.0,null
1637724039153,17.0,null
1637724040154,13.0,null
1637724041153,13.0,null
1637724042162,13.0,null
1637724043162,11.0,null
1637724044170,13.0,null
1637724045170,12.0,null
1637724046188,14.0,null
1637724047175,14.0,null
1637724048191,14.0,null
1637724049167,14.0,null
1637724050202,14.0,null
1637724051196,14.0,null
1637724052183,11.0,null
1637724053208,10.0,null
1637724054227,11.0,null
1637724055221,12.0,null
1637724056223,12.0,null
1637724057230,12.0,null
1637724058229,9.0,null
1637724059233,9.0,null
1637724060221,10.0,null
1637724061232,11.0,null
1637724062236,12.0,null
1637724063235,12.0,null
1637724064232,11.0,null
1637724065250,10.0,null
1637724066246,10.0,null
1637724067251,10.0,null
1637724068269,9.0,null
1637724069261,10.0,null
1637724070261,11.0,null
1637724071271,11.0,null
1637724072273,11.0,null
1637724073277,11.0,null
1637724074282,11.0,null
1637724075287,10.0,null
1637724076287,10.0,null
1637724077305,10.0,null
1637724078285,11.0,null
1637724079300,10.0,null
1637724080289,10.0,null
1637724081290,10.0,null
1637724082298,9.0,null
1637724083298,10.0,null
1637724084313,11.0,null
1637724085293,11.0,null
1637724086309,11.0,null
1637724087320,12.0,null
1637724088301,12.0,null
1637724089334,11.0,null
1637724090337,12.0,null
1637724091335,12.0,null
1637724092315,12.0,null
1637724093324,13.0,null
1637724094323,13.0,null
1637724095328,13.0,null
1637724096348,12.0,null
1637724097349,11.0,null
1637724098353,11.0,null
