RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637930939522,61.0,null
1637930940522,61.0,null
1637930941537,61.0,null
1637930942534,61.0,null
1637930943535,61.0,null
1637930944534,61.0,null
1637930945542,61.0,null
1637930946553,61.0,null
1637930947545,61.0,null
1637930948555,61.0,null
1637930949548,61.0,null
1637930950554,61.0,null
1637930951553,61.0,null
1637930952558,61.0,null
1637930953550,61.0,null
1637930954572,61.0,null
1637930955571,61.0,null
1637930956569,61.0,null
1637930957571,61.0,null
1637930958586,61.0,null
1637930959590,61.0,null
1637930960570,61.0,null
1637930961590,61.0,null
1637930962605,61.0,null
1637930963600,61.0,null
1637930964590,61.0,null
1637930965622,61.0,null
1637930966596,61.0,null
1637930967601,61.0,null
1637930968623,61.0,null
1637930969622,61.0,null
1637930970631,61.0,null
1637930971612,61.0,null
1637930972618,61.0,null
1637930973609,61.0,null
1637930974627,61.0,null
1637930975621,61.0,null
1637930976617,61.0,null
1637930977635,61.0,null
1637930978622,61.0,null
1637930979660,61.0,null
1637930980634,61.0,null
1637930981653,61.0,null
1637930982634,61.0,null
1637930983653,61.0,null
1637930984670,61.0,null
1637930985665,61.0,null
1637930986659,61.0,null
1637930987658,62.0,null
1637930988666,61.0,null
1637930989675,61.0,null
1637930990674,61.0,null
1637930991680,61.0,null
1637930992677,61.0,null
1637930993666,61.0,null
1637930994691,61.0,null
1637930995696,61.0,null
1637930996684,61.0,null
1637930997700,61.0,null
1637930998689,62.0,null
1637930999698,61.0,null
1637931000693,61.0,null
1637931001698,61.0,null
1637931002688,61.0,null
1637931003688,61.0,null
1637931004715,61.0,null
1637931005705,61.0,null
1637931006710,61.0,null
1637931007711,61.0,null
1637931008723,61.0,null
1637931009727,61.0,null
1637931010720,61.0,null
1637931011733,61.0,null
1637931012737,61.0,null
1637931013724,61.0,null
1637931014732,61.0,null
1637931015735,61.0,null
1637931016734,61.0,null
1637931017724,61.0,null
1637931018744,61.0,null
1637931019738,61.0,null
1637931020740,61.0,null
1637931021743,61.0,null
1637931022747,61.0,null
1637931023759,61.0,null
1637931024760,61.0,null
1637931025750,61.0,null
1637931026755,61.0,null
1637931027746,61.0,null
1637931028757,61.0,null
1637931029768,61.0,null
1637931030757,61.0,null
1637931031761,61.0,null
1637931032774,61.0,null
1637931033772,61.0,null
1637931034774,61.0,null
1637931035793,61.0,null
1637931036783,61.0,null
1637931037784,61.0,null
1637931038772,61.0,null
1637931039796,61.0,null
1637931040777,61.0,null
1637931041784,61.0,null
1637931042805,61.0,null
1637931043793,61.0,null
1637931044812,61.0,null
1637931045805,61.0,null
1637931046814,61.0,null
1637931047806,61.0,null
1637931048813,61.0,null
1637931049817,61.0,null
1637931050832,61.0,null
1637931051831,61.0,null
1637931052829,61.0,null
1637931053822,61.0,null
1637931054823,61.0,null
1637931055828,61.0,null
1637931056827,61.0,null
1637931057850,61.0,null
1637931058850,61.0,null
1637931059852,61.0,null
1637931060846,61.0,null
1637931061853,61.0,null
1637931062871,61.0,null
1637931063863,61.0,null
1637931064872,61.0,null
1637931065877,61.0,null
1637931066885,61.0,null
1637931067885,61.0,null
1637931068883,61.0,null
1637931069873,61.0,null
1637931070880,61.0,null
1637931071885,61.0,null
1637931072887,61.0,null
1637931073899,61.0,null
1637931074899,61.0,null
1637931075903,61.0,null
1637931076917,61.0,null
1637931077904,61.0,null
1637931078918,61.0,null
1637931079898,61.0,null
1637931080908,61.0,null
1637931081908,61.0,null
1637931082912,61.0,null
1637931083926,61.0,null
1637931084917,61.0,null
1637931085920,61.0,null
1637931086919,61.0,null
