RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1635926403898,25.0,null
1635926404911,26.0,null
1635926405900,26.0,null
1635926406911,26.0,null
1635926407903,24.0,null
1635926408901,27.0,null
1635926409904,26.0,null
1635926410905,26.0,null
1635926411905,26.0,null
1635926412904,26.0,null
1635926413905,25.0,null
1635926414906,26.0,null
1635926415907,26.0,null
1635926416908,26.0,null
1635926417908,26.0,null
1635926418921,26.0,null
1635926419910,26.0,null
1635926420910,26.0,null
1635926421911,26.0,null
1635926422913,26.0,null
1635926423913,26.0,null
1635926425917,26.0,null
1635926426915,26.0,null
1635926427916,26.0,null
1635926428918,26.0,null
1635926429918,26.0,null
1635926430920,26.0,null
1635926431921,26.0,null
1635926432921,26.0,null
1635926433922,26.0,null
1635926434924,26.0,null
1635926435923,26.0,null
1635926436925,26.0,null
1635926437931,26.0,null
1635926438929,26.0,null
1635926439927,26.0,null
1635926440929,26.0,null
1635926441940,26.0,null
1635926442930,26.0,null
1635926443934,26.0,null
1635926444942,26.0,null
1635926445942,26.0,null
1635926446944,26.0,null
1635926447934,26.0,null
1635926448936,26.0,null
1635926449946,26.0,null
1635926450937,25.0,null
1635926451947,26.0,null
1635926452948,26.0,null
1635926453937,26.0,null
1635926454939,26.0,null
1635926455946,26.0,null
1635926456949,26.0,null
1635926457944,26.0,null
1635926458952,26.0,null
1635926459943,26.0,null
1635926460944,26.0,null
1635926461945,26.0,null
1635926462946,26.0,null
1635926463946,26.0,null
1635926464947,26.0,null
1635926465949,26.0,null
1635926466949,26.0,null
1635926467951,26.0,null
1635926468971,25.0,null
1635926469955,26.0,null
1635926470955,26.0,null
1635926471954,26.0,null
1635926472955,26.0,null
1635926473957,25.0,null
1635926474960,26.0,null
1635926475958,26.0,null
1635926476961,26.0,null
1635926477961,25.0,null
1635926478971,26.0,null
1635926479960,26.0,null
1635926480961,26.0,null
1635926481963,26.0,null
1635926482964,26.0,null
1635926483963,26.0,null
1635926484964,26.0,null
1635926485976,26.0,null
1635926486974,26.0,null
1635926487976,26.0,null
1635926488977,26.0,null
1635926489976,26.0,null
1635926490967,26.0,null
1635926491969,26.0,null
1635926492972,26.0,null
1635926493972,26.0,null
1635926494997,24.0,null
1635926495972,26.0,null
1635926496975,26.0,null
1635926497978,26.0,null
1635926498975,25.0,null
1635926499976,26.0,null
1635926500986,26.0,null
1635926501977,26.0,null
1635926502978,26.0,null
1635926503979,26.0,null
1635926504979,26.0,null
1635926506008,26.0,null
1635926506980,26.0,null
1635926507982,26.0,null
1635926508981,26.0,null
1635926510051,23.0,null
1635926510993,24.0,null
1635926511984,26.0,null
1635926512987,26.0,null
1635926513989,26.0,null
1635926514985,26.0,null
1635926515988,26.0,null
1635926516988,26.0,null
1635926517989,26.0,null
1635926518992,26.0,null
1635926519990,26.0,null
1635926520992,26.0,null
1635926521992,26.0,null
1635926522993,26.0,null
1635926523993,26.0,null
1635926524995,26.0,null
1635926525996,26.0,null
1635926526996,26.0,null
1635926527997,26.0,null
1635926528997,26.0,null
