pkg_id,pkg_name,Trinity,Trinity Unlimited,w/o Projection Space,w/o Projection Space Unlimited,w/o Flow Control,w/o Flow Control Unlimited,w/o Teleporting,w/o Teleporting Unlimited
1,com.alienzoneplus,59.75658095,59.8979675,2.478,2.461255671,56.7687519,56.90306913,59.92505618,61.20768717
2,com.aquiris.horizonchase,60,60.93169859,16.84246914,16.87048256,57,57.88511366,53.79329412,54.00648701
3,com.auer.dawnbreak.trial.single.player.free,59.99728042,78.55456538,12.49353535,12.54910356,56.9974164,74.62683711,39.48611111,40.01911095
4,com.BeerMoneyGames.Demolition2,60,110.0543107,16.8552459,17.18567754,60,104.5515951,58.1494186,62.90696161
5,com.direlight.grimvalor,60,203.9934547,11.75576923,11.70223552,60,193.793782,51.34873563,65.90970835
6,com.drspritz.starcombat,60,141.0039735,8.871525424,8.914173306,60,133.9537748,32.25532609,32.4129637
7,com.dw.zy.gp.hd,58.9723361,59.87759764,1.786478873,1.789749289,56.0237193,56.88371775,59.22222222,60.38681762
8,com.HomeNetGames.SpaceCommander,60,68.64660232,18.61370968,20.35626348,57,65.21427221,59.31242857,68.56093721
9,com.hotheadgames.google.free.rawspace,60,67.01766248,3.003013699,3.025440359,60,63.66677935,38.74080645,41.26217909
10,com.imangi.templerun,60,65.66146951,41.47095238,44.53498254,57,62.37839604,56.91180328,61.20444455
11,com.imangi.templerun2,60,75.69911056,26.46366667,29.05143446,60,71.91415503,59.16975309,68.89202981
12,com.julian.fastracing,60,93.89191249,27.58046154,30.93331166,60,89.19731687,33.384375,41.19275868
13,com.kingkodestudio.z2h,59.3907058,72.52891721,14.08944444,14.13462697,56.42117051,68.90247135,55.035125,55.10667961
14,com.skgames.trafficracer,60,62.36770608,32.46043478,32.52143907,60,59.24932078,56.02894737,56.167442
15,net.wargaming.wot.blitz,60,190.5476285,3.077166667,3.049237375,60,181.0202471,57.64892473,147.7615039
16,com.aim.racing,60,70.99160416,11.34513514,11.94361288,57,67.44202395,36.01837209,36.74033286
17,com.car.games.drifter.driving.simulator,58.37802023,64.80042683,4.92942029,4.901829166,55.45911922,61.56040548,1.932631579,1.952047678
18,com.CarXTech.highWay,54.86572635,56.7001694,2.495636364,2.488062889,52.12244003,53.86516093,15.28305556,14.87263489
19,com.creativemobile.nno,57.46494635,71.26364322,7.871219512,7.840488986,54.59169903,67.70046106,27.47264368,27.55021059
20,com.dokoli.sa,60,126.4002585,6.902317073,6.899563286,57,120.0802455,46.73932432,46.6978553
21,com.dsfgland.goat,59.96666667,35.25519122,13.39216667,14.91338584,56.96833333,33.49243166,28.8256383,34.79252579
22,com.feelingtouch.zf3d,60,83.85603837,29.17066667,34.66503271,60,79.66323645,46.57984127,58.94856712
23,com.feelingtouch.zfsniper,59.83303944,112.0861716,17.19273973,17.70482086,56.84138747,106.481863,55.25302632,61.18861152
24,com.firsttouchgames.dls7,60,109.2061957,29.62029851,45.62946422,60,103.745886,30.19164384,66.76048061
25,com.firsttouchgames.hero2,59.92156863,31.17013583,27.89307692,28.66756388,56.9254902,29.61162904,28.85061538,31.32685535
26,com.foxnextgames.m3,60,123.2883197,8.129545455,8.185408131,57,117.1239037,27.31308411,27.31710198
27,com.fungames.sniper3d,60,114.2911178,13.19986301,13.2503141,57,108.5765619,54.81537313,54.99749975
28,com.generagames.resistance,59.90440565,73.68662269,10.48121951,10.52569209,56.90918537,70.00229156,43.33121622,43.34351141
29,com.heliogames.westland,60,90.1767022,5.972815534,5.959853422,57,85.66786709,28.28409836,28.272041
30,com.infinityvector.assolutoracing,60,90.29133692,5.766049383,5.786731768,60,85.77677008,23.74876404,24.34257305
