RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637868650584,29.0,null
1637868651619,28.0,null
1637868652585,27.0,null
1637868653616,29.0,null
1637868654617,20.0,null
1637868655589,29.0,null
1637868656598,28.0,null
1637868657603,28.0,null
1637868658615,29.0,null
1637868659655,27.0,null
1637868660615,29.0,null
1637868661624,29.0,null
1637868662620,29.0,null
1637868663634,30.0,null
1637868664641,28.0,null
1637868665637,29.0,null
1637868666638,28.0,null
1637868667645,29.0,null
1637868668625,28.0,null
1637868669622,28.0,null
1637868670638,27.0,null
1637868671646,30.0,null
1637868672653,24.0,null
1637868673637,28.0,null
1637868674635,28.0,null
1637868675673,26.0,null
1637868676698,25.0,null
1637868677664,28.0,null
1637868678657,28.0,null
1637868679654,30.0,null
1637868680675,29.0,null
1637868681716,29.0,null
1637868682686,29.0,null
1637868683694,27.0,null
1637868684685,27.0,null
1637868685698,28.0,null
1637868686741,29.0,null
1637868687685,27.0,null
1637868688735,28.0,null
1637868689702,23.0,null
1637868690729,27.0,null
1637868691718,27.0,null
1637868692705,21.0,null
1637868693720,22.0,null
1637868694705,23.0,null
1637868695750,22.0,null
1637868696748,26.0,null
1637868697758,25.0,null
1637868698761,28.0,null
1637868699724,28.0,null
1637868700751,25.0,null
1637868701761,21.0,null
1637868702741,22.0,null
1637868703762,26.0,null
1637868704747,24.0,null
1637868705808,26.0,null
1637868706767,27.0,null
1637868707757,27.0,null
1637868708762,27.0,null
1637868709770,29.0,null
1637868710805,26.0,null
1637868711754,29.0,null
1637868712830,26.0,null
1637868713790,28.0,null
1637868714808,24.0,null
1637868715798,25.0,null
1637868716783,26.0,null
1637868717792,20.0,null
1637868718790,27.0,null
1637868719794,26.0,null
1637868720797,28.0,null
1637868721821,29.0,null
1637868722820,26.0,null
1637868723816,28.0,null
1637868724822,28.0,null
1637868725859,27.0,null
1637868726848,29.0,null
1637868727859,29.0,null
1637868728867,29.0,null
1637868729832,24.0,null
1637868730873,23.0,null
1637868731839,27.0,null
1637868732834,26.0,null
1637868733833,28.0,null
1637868734906,29.0,null
1637868735848,27.0,null
1637868736888,22.0,null
1637868737862,20.0,null
1637868738887,19.0,null
1637868739911,23.0,null
1637868740875,18.0,null
1637868741872,21.0,null
1637868742896,21.0,null
1637868743907,26.0,null
1637868744889,23.0,null
1637868745910,23.0,null
1637868746882,24.0,null
1637868747889,22.0,null
1637868748982,21.0,null
1637868749915,22.0,null
1637868750963,24.0,null
1637868751960,19.0,null
1637868752970,21.0,null
1637868753902,23.0,null
1637868754916,27.0,null
1637868755917,26.0,null
1637868756964,21.0,null
1637868757971,21.0,null
1637868759031,18.0,null
1637868759967,21.0,null
1637868760967,22.0,null
1637868761983,20.0,null
1637868762955,20.0,null
1637868763940,22.0,null
1637868764957,23.0,null
1637868765956,24.0,null
1637868766923,22.0,null
1637868767940,21.0,null
1637868768962,25.0,null
1637868770000,23.0,null
1637868771004,24.0,null
1637868771988,23.0,null
1637868772985,23.0,null
1637868774032,25.0,null
1637868775048,27.0,null
1637868775998,26.0,null
1637868777014,26.0,null
1637868777966,26.0,null
1637868779057,23.0,null
1637868780034,22.0,null
1637868780997,21.0,null
1637868782027,19.0,null
1637868783004,25.0,null
1637868784026,22.0,null
1637868785062,22.0,null
1637868786012,21.0,null
1637868787050,15.0,null
1637868788050,17.0,null
1637868789033,19.0,null
1637868790078,18.0,null
1637868791013,18.0,null
1637868792051,19.0,null
