RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637865057064,22.0,null
1637865058032,27.0,null
1637865059031,27.0,null
1637865060047,30.0,null
1637865061035,27.0,null
1637865062042,27.0,null
1637865063044,26.0,null
1637865064041,26.0,null
1637865065047,23.0,null
1637865066047,25.0,null
1637865067114,23.0,null
1637865068055,26.0,null
1637865069056,26.0,null
1637865070047,27.0,null
1637865071050,26.0,null
1637865072070,28.0,null
1637865073072,25.0,null
1637865074071,29.0,null
1637865075064,29.0,null
1637865076064,28.0,null
1637865077074,27.0,null
1637865078077,23.0,null
1637865079087,27.0,null
1637865080075,25.0,null
1637865081080,25.0,null
1637865082095,27.0,null
1637865083099,25.0,null
1637865084096,28.0,null
1637865085101,30.0,null
1637865086107,29.0,null
1637865087116,26.0,null
1637865088115,26.0,null
1637865089133,27.0,null
1637865090111,28.0,null
1637865091117,23.0,null
1637865092129,25.0,null
1637865093125,24.0,null
1637865094138,25.0,null
1637865095146,27.0,null
1637865096137,24.0,null
1637865097148,27.0,null
1637865098149,26.0,null
1637865099152,27.0,null
1637865100150,28.0,null
1637865101158,30.0,null
1637865102159,29.0,null
1637865103159,29.0,null
1637865104152,32.0,null
1637865105154,29.0,null
1637865106174,29.0,null
1637865107180,30.0,null
1637865108183,28.0,null
1637865109168,31.0,null
1637865110175,29.0,null
1637865111200,30.0,null
1637865112183,25.0,null
1637865113205,29.0,null
1637865114207,30.0,null
1637865115191,31.0,null
1637865116200,28.0,null
1637865117215,24.0,null
1637865118214,26.0,null
1637865119234,28.0,null
1637865120231,29.0,null
1637865121214,27.0,null
1637865122207,27.0,null
1637865123228,29.0,null
1637865124230,29.0,null
1637865125229,29.0,null
1637865126229,29.0,null
1637865127246,26.0,null
1637865128242,28.0,null
1637865129219,27.0,null
1637865130236,30.0,null
1637865131238,28.0,null
1637865132272,28.0,null
1637865133263,28.0,null
1637865134250,30.0,null
1637865135273,28.0,null
1637865136270,28.0,null
1637865137274,27.0,null
1637865138322,27.0,null
1637865139282,30.0,null
1637865140282,28.0,null
1637865141295,28.0,null
1637865142284,25.0,null
1637865143282,26.0,null
1637865144303,25.0,null
1637865145292,27.0,null
1637865146276,28.0,null
1637865147295,25.0,null
1637865148288,16.0,null
1637865149302,23.0,null
1637865150307,25.0,null
1637865151311,26.0,null
1637865152314,27.0,null
1637865153311,25.0,null
1637865154314,23.0,null
1637865155347,27.0,null
1637865156345,29.0,null
1637865157330,26.0,null
1637865158326,26.0,null
1637865159325,26.0,null
1637865160335,28.0,null
1637865161333,29.0,null
1637865162341,27.0,null
1637865163348,26.0,null
1637865164340,27.0,null
1637865165342,28.0,null
1637865166364,29.0,null
1637865167364,25.0,null
1637865168351,28.0,null
1637865169354,31.0,null
1637865170357,30.0,null
1637865171353,29.0,null
1637865172358,29.0,null
1637865173361,29.0,null
1637865174364,27.0,null
1637865175369,30.0,null
1637865176379,29.0,null
1637865177383,26.0,null
1637865178373,26.0,null
1637865179381,28.0,null
1637865180384,28.0,null
1637865181370,28.0,null
1637865182385,29.0,null
1637865183385,30.0,null
1637865184396,18.0,null
1637865185388,27.0,null
1637865186417,26.0,null
1637865187396,24.0,null
1637865188383,24.0,null
1637865189385,24.0,null
1637865190397,24.0,null
1637865191378,26.0,null
1637865192406,25.0,null
1637865193407,25.0,null
1637865194403,23.0,null
