RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637718410935,22.0,null
1637718411935,24.0,null
1637718412953,20.0,null
1637718413962,21.0,null
1637718414961,19.0,null
1637718415983,21.0,null
1637718416959,19.0,null
1637718417946,19.0,null
1637718418974,15.0,null
1637718419971,21.0,null
1637718421007,19.0,null
1637718421992,23.0,null
1637718422976,19.0,null
1637718424006,21.0,null
1637718424999,21.0,null
1637718425988,19.0,null
1637718426989,19.0,null
1637718428005,20.0,null
1637718428991,22.0,null
1637718430024,22.0,null
1637718431045,22.0,null
1637718432032,19.0,null
1637718433036,23.0,null
1637718434063,15.0,null
1637718435038,18.0,null
1637718436030,21.0,null
1637718437064,17.0,null
1637718438061,16.0,null
1637718439076,19.0,null
1637718440062,18.0,null
1637718441048,23.0,null
1637718442082,22.0,null
1637718443064,19.0,null
1637718444077,22.0,null
1637718445114,21.0,null
1637718446087,19.0,null
1637718447091,20.0,null
1637718448098,21.0,null
1637718449098,17.0,null
1637718450101,20.0,null
1637718451115,19.0,null
1637718452133,21.0,null
1637718453094,20.0,null
1637718454123,21.0,null
1637718455112,22.0,null
1637718456117,21.0,null
1637718457142,20.0,null
1637718458159,18.0,null
1637718459150,19.0,null
1637718460134,22.0,null
1637718461125,20.0,null
1637718462147,19.0,null
1637718463175,5.0,null
1637718464171,20.0,null
1637718465138,28.0,null
1637718466137,19.0,null
1637718467157,21.0,null
1637718468170,25.0,null
1637718469160,28.0,null
1637718470150,26.0,null
1637718471150,26.0,null
1637718472151,28.0,null
1637718473176,25.0,null
1637718474191,27.0,null
1637718475183,25.0,null
1637718476229,27.0,null
1637718477185,25.0,null
1637718478214,23.0,null
1637718479224,21.0,null
1637718480221,23.0,null
1637718481216,22.0,null
1637718482220,21.0,null
1637718483241,24.0,null
1637718484230,26.0,null
1637718485217,26.0,null
1637718486266,27.0,null
1637718487231,24.0,null
1637718488254,26.0,null
1637718489256,29.0,null
1637718490241,29.0,null
1637718491235,30.0,null
1637718492236,23.0,null
1637718493264,27.0,null
1637718494238,26.0,null
1637718495259,23.0,null
1637718496247,23.0,null
1637718497250,24.0,null
1637718498276,26.0,null
1637718499271,26.0,null
1637718500270,30.0,null
1637718501273,25.0,null
1637718502276,22.0,null
1637718503257,27.0,null
1637718504271,25.0,null
1637718505313,29.0,null
1637718506286,27.0,null
1637718507313,25.0,null
1637718508289,22.0,null
1637718509315,26.0,null
1637718510292,26.0,null
1637718511303,26.0,null
1637718512319,22.0,null
1637718513296,22.0,null
1637718514297,24.0,null
1637718515314,24.0,null
1637718516322,24.0,null
1637718517321,21.0,null
1637718518346,21.0,null
1637718519313,21.0,null
1637718520328,25.0,null
1637718521351,23.0,null
1637718522324,22.0,null
1637718523335,24.0,null
1637718524338,25.0,null
1637718525345,24.0,null
1637718526350,26.0,null
1637718527342,23.0,null
1637718528354,24.0,null
1637718529350,26.0,null
1637718530373,26.0,null
1637718531361,25.0,null
