RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637946962681,11.0,null
1637946963692,12.0,null
1637946964696,3.0,null
1637946965686,12.0,null
1637946966700,13.0,null
1637946967711,12.0,null
1637946968700,7.0,null
1637946969701,11.0,null
1637946970715,7.0,null
1637946971715,7.0,null
1637946972722,10.0,null
1637946973727,13.0,null
1637946974715,14.0,null
1637946975714,13.0,null
1637946976736,15.0,null
1637946977729,11.0,null
1637946978746,10.0,null
1637946979731,9.0,null
1637946980743,11.0,null
1637946981733,12.0,null
1637946982737,11.0,null
1637946983740,10.0,null
1637946984757,13.0,null
1637946985754,11.0,null
1637946986766,12.0,null
1637946987771,11.0,null
1637946988776,11.0,null
1637946989782,11.0,null
1637946990775,11.0,null
1637946991789,11.0,null
1637946992776,11.0,null
1637946993796,11.0,null
1637946994779,12.0,null
1637946995797,9.0,null
1637946996782,10.0,null
1637946997809,11.0,null
1637946998787,12.0,null
1637946999795,13.0,null
1637947000802,12.0,null
1637947001785,11.0,null
1637947002829,10.0,null
1637947003812,9.0,null
1637947004809,9.0,null
1637947005818,10.0,null
1637947006818,11.0,null
1637947007847,11.0,null
1637947008823,13.0,null
1637947009836,11.0,null
1637947010828,11.0,null
1637947011841,11.0,null
1637947012854,11.0,null
1637947013833,11.0,null
1637947014828,10.0,null
1637947015845,11.0,null
1637947016855,10.0,null
1637947017846,11.0,null
1637947018856,12.0,null
1637947019848,12.0,null
1637947020861,12.0,null
1637947021852,11.0,null
1637947022882,12.0,null
1637947023851,13.0,null
1637947024864,12.0,null
1637947025867,12.0,null
1637947026860,13.0,null
1637947027886,13.0,null
1637947028877,13.0,null
1637947029873,13.0,null
1637947030885,13.0,null
1637947031881,12.0,null
1637947032888,13.0,null
1637947033879,12.0,null
1637947034886,13.0,null
1637947035885,14.0,null
1637947036895,14.0,null
1637947037893,12.0,null
1637947038891,15.0,null
1637947039908,11.0,null
1637947040900,11.0,null
1637947041913,11.0,null
1637947042922,10.0,null
1637947043925,9.0,null
1637947044914,9.0,null
1637947045931,10.0,null
1637947046908,10.0,null
1637947047907,9.0,null
1637947048921,10.0,null
1637947049923,11.0,null
1637947050925,10.0,null
1637947051948,9.0,null
1637947052939,9.0,null
1637947053931,10.0,null
1637947054945,9.0,null
1637947055955,10.0,null
1637947056955,9.0,null
1637947057953,9.0,null
1637947058951,9.0,null
1637947059957,9.0,null
1637947060959,8.0,null
1637947061970,8.0,null
1637947062972,7.0,null
1637947063964,7.0,null
1637947064982,9.0,null
1637947065962,9.0,null
1637947066958,9.0,null
1637947067980,7.0,null
1637947068973,8.0,null
1637947069988,10.0,null
1637947070996,12.0,null
1637947071970,10.0,null
1637947072983,10.0,null
1637947073999,8.0,null
1637947075005,9.0,null
1637947076006,9.0,null
1637947076993,9.0,null
1637947077983,8.0,null
1637947079011,10.0,null
1637947080007,10.0,null
1637947081015,10.0,null
1637947082002,10.0,null
1637947083059,9.0,null
1637947084024,3.0,null
1637947085022,5.0,null
1637947086012,12.0,null
1637947087029,12.0,null
1637947088032,15.0,null
1637947089036,15.0,null
1637947090024,15.0,null
1637947091053,15.0,null
1637947092040,13.0,null
1637947093035,9.0,null
1637947094036,10.0,null
1637947095041,9.0,null
1637947096059,10.0,null
1637947097063,11.0,null
1637947098045,10.0,null
1637947099067,10.0,null
1637947100052,9.0,null
1637947101073,10.0,null
1637947102068,10.0,null
1637947103078,9.0,null
1637947104046,9.0,null
1637947105070,9.0,null
1637947106052,2.0,null
1637947107081,9.0,null
1637947108071,9.0,null
1637947109066,8.0,null
1637947110077,2.0,null
1637947111076,5.0,null
1637947112103,8.0,null
1637947113080,10.0,null
1637947114102,10.0,null
1637947115090,8.0,null
1637947116094,10.0,null
1637947117096,10.0,null
1637947118102,10.0,null
1637947119112,10.0,null
1637947120108,9.0,null
1637947121108,8.0,null
1637947122137,10.0,null
1637947123131,10.0,null
1637947124129,10.0,null
1637947125117,9.0,null
1637947126123,9.0,null
1637947127138,9.0,null
1637947128129,9.0,null
1637947129155,10.0,null
1637947130128,12.0,null
1637947131152,10.0,null
1637947132148,10.0,null
1637947133151,11.0,null
1637947134163,11.0,null
1637947135176,10.0,null
1637947136157,9.0,null
1637947137164,11.0,null
1637947138169,10.0,null
1637947139167,11.0,null
1637947140163,9.0,null
1637947141171,10.0,null
1637947142185,10.0,null
1637947143176,6.0,null
1637947144197,13.0,null
1637947145195,13.0,null
1637947146196,10.0,null
1637947147192,9.0,null
1637947148192,9.0,null
1637947149201,9.0,null
1637947150186,9.0,null
1637947151194,9.0,null
1637947152213,9.0,null
1637947153213,9.0,null
1637947154207,8.0,null
1637947155215,8.0,null
1637947156203,9.0,null
1637947157228,10.0,null
1637947158221,10.0,null
1637947159225,8.0,null
1637947160238,7.0,null
1637947161238,10.0,null
1637947162233,10.0,null
1637947163236,8.0,null
1637947164251,11.0,null
1637947165249,10.0,null
1637947166242,11.0,null
1637947167243,11.0,null
1637947168248,11.0,null
1637947169239,12.0,null
1637947170257,12.0,null
1637947171255,10.0,null
1637947172260,10.0,null
1637947173273,11.0,null
1637947174272,11.0,null
