RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637864469714,14.0,null
1637864470657,9.0,null
1637864471710,19.0,null
1637864472805,19.0,null
1637864473655,26.0,null
1637864474661,24.0,null
1637864475690,26.0,null
1637864476719,26.0,null
1637864477659,22.0,null
1637864478672,23.0,null
1637864479663,27.0,null
1637864480659,27.0,null
1637864481697,27.0,null
1637864482672,24.0,null
1637864483685,30.0,null
1637864484671,31.0,null
1637864485677,33.0,null
1637864486691,6.0,null
1637864487674,15.0,null
1637864488690,18.0,null
1637864489696,19.0,null
1637864490717,23.0,null
1637864491727,25.0,null
1637864492784,23.0,null
1637864493706,23.0,null
1637864494710,23.0,null
1637864495721,26.0,null
1637864496722,25.0,null
1637864497729,23.0,null
1637864498719,26.0,null
1637864499750,12.0,null
1637864500765,16.0,null
1637864501752,19.0,null
1637864502741,15.0,null
1637864503755,15.0,null
1637864504732,16.0,null
1637864505768,23.0,null
1637864506814,17.0,null
1637864507772,14.0,null
1637864508759,19.0,null
1637864509753,19.0,null
1637864510791,18.0,null
1637864511774,19.0,null
1637864512767,22.0,null
1637864513850,24.0,null
1637864514760,25.0,null
1637864515830,23.0,null
1637864516813,20.0,null
1637864517782,19.0,null
1637864518783,26.0,null
1637864519804,23.0,null
1637864520863,14.0,null
1637864521788,13.0,null
1637864522792,14.0,null
1637864523818,20.0,null
1637864524809,23.0,null
1637864525823,23.0,null
1637864526813,19.0,null
1637864527831,22.0,null
1637864528809,24.0,null
1637864529811,26.0,null
1637864530840,26.0,null
1637864531827,27.0,null
1637864532808,22.0,null
1637864533826,26.0,null
1637864534889,26.0,null
1637864535829,26.0,null
1637864536842,26.0,null
1637864537828,28.0,null
1637864538828,27.0,null
1637864539868,26.0,null
1637864540876,30.0,null
1637864541853,24.0,null
1637864542837,14.0,null
1637864543848,13.0,null
1637864544833,14.0,null
1637864545857,23.0,null
1637864546856,22.0,null
1637864547860,23.0,null
1637864548878,28.0,null
1637864549878,31.0,null
1637864550879,27.0,null
1637864551868,29.0,null
1637864552870,21.0,null
1637864553872,21.0,null
1637864554876,24.0,null
1637864555892,29.0,null
1637864556878,19.0,null
1637864557896,18.0,null
1637864558883,20.0,null
1637864559903,23.0,null
1637864560920,22.0,null
1637864561972,22.0,null
1637864562910,20.0,null
1637864563916,24.0,null
1637864564915,21.0,null
1637864565918,21.0,null
1637864566960,22.0,null
1637864567979,20.0,null
1637864568925,21.0,null
1637864569919,22.0,null
1637864570935,21.0,null
1637864571946,20.0,null
1637864572973,23.0,null
1637864573945,23.0,null
1637864574935,25.0,null
1637864575941,25.0,null
1637864576975,3.0,null
1637864577991,15.0,null
1637864578950,26.0,null
1637864579948,25.0,null
1637864580952,17.0,null
1637864581969,23.0,null
1637864582962,23.0,null
1637864583978,26.0,null
1637864584967,22.0,null
1637864585964,22.0,null
1637864587008,21.0,null
1637864587982,22.0,null
1637864588972,24.0,null
1637864589976,24.0,null
1637864590981,23.0,null
1637864591984,20.0,null
1637864592987,19.0,null
1637864593999,20.0,null
1637864594993,16.0,null
1637864595978,19.0,null
1637864596998,18.0,null
1637864598029,20.0,null
1637864599024,21.0,null
1637864600005,23.0,null
1637864601037,22.0,null
1637864602019,22.0,null
1637864603012,23.0,null
