RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637997239437,48.0,null
1637997240434,46.0,null
1637997241433,43.0,null
1637997242441,41.0,null
1637997243434,42.0,null
1637997244445,42.0,null
1637997245459,45.0,null
1637997246445,47.0,null
1637997247444,47.0,null
1637997248526,43.0,null
1637997249446,46.0,null
1637997250440,50.0,null
1637997251441,52.0,null
1637997252444,55.0,null
1637997253454,52.0,null
1637997254455,45.0,null
1637997255460,43.0,null
1637997256461,46.0,null
1637997257467,49.0,null
1637997258454,47.0,null
1637997259461,51.0,null
1637997260458,54.0,null
1637997261464,57.0,null
1637997262458,55.0,null
1637997263451,56.0,null
1637997264466,58.0,null
1637997265477,56.0,null
1637997266460,57.0,null
1637997267477,56.0,null
1637997268472,58.0,null
1637997269463,54.0,null
1637997270468,58.0,null
1637997271471,58.0,null
1637997272465,56.0,null
1637997273471,56.0,null
1637997274455,47.0,null
1637997275485,42.0,null
1637997276488,51.0,null
1637997277485,40.0,null
1637997278478,42.0,null
1637997279502,42.0,null
1637997280495,43.0,null
1637997281487,41.0,null
1637997282503,43.0,null
1637997283478,43.0,null
1637997284486,42.0,null
1637997285492,40.0,null
1637997286507,46.0,null
1637997287500,46.0,null
1637997288509,43.0,null
1637997289526,46.0,null
1637997290516,44.0,null
1637997291524,46.0,null
1637997292522,47.0,null
1637997293521,47.0,null
1637997294511,42.0,null
1637997295532,43.0,null
1637997296519,46.0,null
1637997297528,45.0,null
1637997298527,41.0,null
1637997299526,46.0,null
1637997300533,46.0,null
1637997301545,45.0,null
1637997302543,46.0,null
1637997303552,49.0,null
1637997304570,44.0,null
1637997305544,42.0,null
1637997306541,45.0,null
1637997307519,50.0,null
1637997308540,52.0,null
1637997309530,52.0,null
1637997310535,52.0,null
1637997311555,51.0,null
1637997312556,55.0,null
1637997313538,56.0,null
1637997314577,54.0,null
1637997315541,54.0,null
1637997316553,50.0,null
1637997317550,58.0,null
1637997318566,59.0,null
1637997319560,53.0,null
1637997320555,22.0,null
1637997321557,29.0,null
1637997322569,41.0,null
1637997323553,42.0,null
1637997324553,52.0,null
1637997325567,47.0,null
1637997326567,45.0,null
1637997327582,42.0,null
1637997328578,50.0,null
1637997329579,55.0,null
1637997330575,54.0,null
1637997331600,55.0,null
1637997332569,55.0,null
1637997333585,57.0,null
1637997334569,54.0,null
1637997335586,53.0,null
1637997336577,54.0,null
1637997337588,56.0,null
1637997338594,55.0,null
1637997339591,55.0,null
1637997340625,41.0,null
1637997341602,44.0,null
1637997342610,42.0,null
1637997343617,38.0,null
1637997344605,41.0,null
1637997345611,39.0,null
1637997347602,46.0,null
1637997348629,42.0,null
1637997349614,43.0,null
1637997350629,40.0,null
1637997351597,43.0,null
1637997352617,36.0,null
1637997353617,55.0,null
1637997354612,49.0,null
1637997355615,47.0,null
1637997356615,55.0,null
1637997357602,54.0,null
1637997358604,49.0,null
1637997359613,54.0,null
1637997360616,56.0,null
1637997361610,54.0,null
1637997362598,53.0,null
1637997363612,56.0,null
1637997364633,47.0,null
1637997365615,44.0,null
1637997367615,47.0,null
1637997368633,46.0,null
1637997369638,47.0,null
1637997370631,47.0,null
1637997371630,55.0,null
1637997372631,52.0,null
1637997373636,54.0,null
1637997374639,51.0,null
1637997375626,51.0,null
1637997376644,51.0,null
1637997377625,49.0,null
1637997378629,51.0,null
1637997379631,51.0,null
1637997380634,57.0,null
