RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637930532425,61.0,null
1637930533427,61.0,null
1637930534433,61.0,null
1637930535432,61.0,null
1637930536441,61.0,null
1637930537441,61.0,null
1637930538461,61.0,null
1637930539440,61.0,null
1637930540445,61.0,null
1637930541453,61.0,null
1637930542448,61.0,null
1637930543450,61.0,null
1637930544464,61.0,null
1637930545465,61.0,null
1637930546466,61.0,null
1637930547462,61.0,null
1637930548475,61.0,null
1637930549479,61.0,null
1637930550483,61.0,null
1637930551489,61.0,null
1637930552466,61.0,null
1637930553485,61.0,null
1637930554488,61.0,null
1637930555492,61.0,null
1637930556488,61.0,null
1637930557489,61.0,null
1637930558495,61.0,null
1637930559505,61.0,null
1637930560519,61.0,null
1637930561524,61.0,null
1637930562511,61.0,null
1637930563520,61.0,null
1637930564521,61.0,null
1637930565512,61.0,null
1637930566535,61.0,null
1637930567543,61.0,null
1637930568531,61.0,null
1637930569536,61.0,null
1637930570539,61.0,null
1637930571553,61.0,null
1637930572539,61.0,null
1637930573554,61.0,null
1637930574552,61.0,null
1637930575559,61.0,null
1637930576565,61.0,null
1637930577561,61.0,null
1637930578566,61.0,null
1637930579565,61.0,null
1637930580570,61.0,null
1637930581572,61.0,null
1637930582561,61.0,null
1637930583566,61.0,null
1637930584583,61.0,null
1637930585583,61.0,null
1637930586572,61.0,null
1637930587586,61.0,null
1637930588592,61.0,null
1637930589611,61.0,null
1637930590581,61.0,null
1637930591592,61.0,null
1637930592626,61.0,null
1637930593613,61.0,null
1637930594608,61.0,null
1637930595609,61.0,null
1637930596620,61.0,null
1637930597640,61.0,null
1637930598628,61.0,null
1637930599639,61.0,null
1637930600642,61.0,null
1637930601625,61.0,null
1637930602651,61.0,null
1637930603635,61.0,null
1637930604629,61.0,null
1637930605641,61.0,null
1637930606643,61.0,null
1637930607663,61.0,null
1637930608650,61.0,null
1637930609658,61.0,null
1637930610663,61.0,null
1637930611644,61.0,null
1637930612656,61.0,null
1637930613659,61.0,null
1637930614659,61.0,null
1637930615673,61.0,null
1637930616660,61.0,null
1637930617681,61.0,null
1637930618688,61.0,null
1637930619676,61.0,null
1637930620686,61.0,null
1637930621688,61.0,null
1637930622688,61.0,null
1637930623700,61.0,null
1637930624716,61.0,null
1637930625697,61.0,null
1637930626702,61.0,null
1637930627709,61.0,null
1637930628709,61.0,null
1637930629713,61.0,null
1637930630719,61.0,null
1637930631708,61.0,null
1637930632724,61.0,null
1637930633710,61.0,null
1637930634728,61.0,null
1637930635721,61.0,null
1637930636728,61.0,null
1637930637713,60.0,null
1637930638736,61.0,null
1637930639743,61.0,null
1637930640745,61.0,null
1637930641746,61.0,null
1637930642739,61.0,null
1637930643743,61.0,null
1637930644751,61.0,null
1637930645750,61.0,null
1637930646737,61.0,null
1637930647759,61.0,null
1637930648753,61.0,null
1637930649773,61.0,null
1637930650760,61.0,null
1637930651763,61.0,null
1637930652767,61.0,null
1637930653771,61.0,null
1637930654773,61.0,null
1637930655772,61.0,null
1637930656770,61.0,null
1637930657785,61.0,null
1637930658789,61.0,null
1637930659778,61.0,null
1637930660792,61.0,null
1637930661792,61.0,null
1637930662798,61.0,null
1637930663795,61.0,null
1637930664785,61.0,null
1637930665798,61.0,null
1637930666801,61.0,null
1637930667817,61.0,null
1637930668810,61.0,null
1637930669814,61.0,null
1637930670810,61.0,null
