RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637846718063,61.0,null
1637846719073,61.0,null
1637846720083,61.0,null
1637846721065,61.0,null
1637846722069,61.0,null
1637846723082,61.0,null
1637846724090,60.0,null
1637846725086,61.0,null
1637846726106,61.0,null
1637846727081,60.0,null
1637846728086,61.0,null
1637846729109,61.0,null
1637846730126,60.0,null
1637846731119,61.0,null
1637846732098,62.0,null
1637846733120,61.0,null
1637846734127,61.0,null
1637846735108,61.0,null
1637846736129,60.0,null
1637846737129,61.0,null
1637846738128,61.0,null
1637846739125,61.0,null
1637846740136,61.0,null
1637846741131,60.0,null
1637846742123,61.0,null
1637846743132,61.0,null
1637846744146,62.0,null
1637846745128,60.0,null
1637846746133,61.0,null
1637846747154,61.0,null
1637846748185,61.0,null
1637846749173,60.0,null
1637846750153,61.0,null
1637846751143,61.0,null
1637846752149,60.0,null
1637846753164,61.0,null
1637846754151,61.0,null
1637846755156,61.0,null
1637846756152,61.0,null
1637846757179,61.0,null
1637846758177,61.0,null
1637846759155,61.0,null
1637846760174,61.0,null
1637846761182,61.0,null
1637846762182,61.0,null
1637846763184,61.0,null
1637846764190,61.0,null
1637846765177,61.0,null
1637846766172,61.0,null
1637846767191,61.0,null
1637846768232,61.0,null
1637846769198,62.0,null
1637846770193,61.0,null
1637846771202,61.0,null
1637846772189,61.0,null
1637846773204,61.0,null
1637846774204,61.0,null
1637846775210,61.0,null
1637846776223,61.0,null
1637846777211,60.0,null
1637846778201,61.0,null
1637846779233,61.0,null
1637846780220,61.0,null
1637846781214,61.0,null
1637846782218,61.0,null
1637846783221,60.0,null
1637846784226,61.0,null
1637846785237,61.0,null
1637846786239,61.0,null
1637846787234,61.0,null
1637846788228,61.0,null
1637846789248,61.0,null
1637846790264,62.0,null
1637846791229,61.0,null
1637846792243,61.0,null
1637846793245,61.0,null
1637846794266,61.0,null
1637846795280,61.0,null
1637846796277,61.0,null
1637846797279,61.0,null
1637846798294,61.0,null
1637846799311,61.0,null
1637846800301,61.0,null
1637846801298,61.0,null
1637846802302,61.0,null
1637846803299,61.0,null
1637846804306,61.0,null
1637846805319,61.0,null
1637846806316,61.0,null
1637846807304,61.0,null
1637846808330,61.0,null
1637846809324,61.0,null
1637846810323,61.0,null
1637846811327,61.0,null
1637846812327,61.0,null
1637846813347,61.0,null
1637846814346,61.0,null
1637846815369,61.0,null
1637846816347,61.0,null
1637846817329,61.0,null
1637846818352,61.0,null
1637846819339,61.0,null
1637846820381,61.0,null
1637846821357,61.0,null
1637846822366,61.0,null
1637846823352,62.0,null
1637846824366,61.0,null
1637846825380,61.0,null
1637846826392,61.0,null
1637846827421,61.0,null
1637846828370,61.0,null
1637846829384,61.0,null
1637846830386,61.0,null
1637846831400,61.0,null
1637846832400,61.0,null
1637846833398,61.0,null
1637846834385,61.0,null
1637846835418,61.0,null
1637846836405,61.0,null
1637846837423,61.0,null
1637846838421,61.0,null
1637846839434,61.0,null
1637846840419,61.0,null
1637846841416,61.0,null
1637846842431,61.0,null
1637846843420,61.0,null
1637846844435,61.0,null
1637846845427,61.0,null
1637846846432,61.0,null
1637846847428,61.0,null
1637846848450,61.0,null
1637846849449,61.0,null
1637846850447,61.0,null
1637846851463,61.0,null
1637846852463,61.0,null
1637846853444,61.0,null
1637846854479,60.0,null
