RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637746203492,59.0,null
1637746204495,51.0,null
1637746205489,59.0,null
1637746206483,60.0,null
1637746207496,61.0,null
1637746208490,60.0,null
1637746209496,57.0,null
1637746210504,59.0,null
1637746211491,58.0,null
1637746212493,60.0,null
1637746213496,59.0,null
1637746214503,59.0,null
1637746215488,61.0,null
1637746216483,54.0,null
1637746217493,52.0,null
1637746218497,52.0,null
1637746219512,56.0,null
1637746220497,59.0,null
1637746221506,61.0,null
1637746222508,59.0,null
1637746223490,60.0,null
1637746224509,60.0,null
1637746225494,59.0,null
1637746226492,61.0,null
1637746227512,59.0,null
1637746228513,59.0,null
1637746229512,55.0,null
1637746230504,53.0,null
1637746231501,53.0,null
1637746232514,55.0,null
1637746233512,61.0,null
1637746234515,59.0,null
1637746235507,60.0,null
1637746236515,60.0,null
1637746237511,61.0,null
1637746238506,60.0,null
1637746239513,57.0,null
1637746240503,59.0,null
1637746241511,59.0,null
1637746242514,60.0,null
1637746243522,60.0,null
1637746244521,42.0,null
1637746245524,54.0,null
1637746246528,53.0,null
1637746247528,56.0,null
1637746248522,61.0,null
1637746249530,58.0,null
1637746250516,59.0,null
1637746251526,60.0,null
1637746252527,60.0,null
1637746253533,61.0,null
1637746254541,57.0,null
1637746255514,59.0,null
1637746256525,56.0,null
1637746257526,58.0,null
1637746258516,61.0,null
1637746259541,60.0,null
1637746260531,59.0,null
1637746261532,57.0,null
1637746262540,44.0,null
1637746263542,51.0,null
1637746264555,56.0,null
1637746265544,57.0,null
1637746266535,57.0,null
1637746267535,55.0,null
1637746268536,58.0,null
1637746269549,60.0,null
1637746270545,60.0,null
1637746271546,61.0,null
1637746272542,59.0,null
1637746273540,60.0,null
1637746274548,57.0,null
1637746275548,59.0,null
1637746276547,58.0,null
1637746277530,57.0,null
1637746278536,57.0,null
1637746279551,59.0,null
1637746280535,59.0,null
1637746281544,60.0,null
1637746282557,60.0,null
1637746283545,61.0,null
1637746284547,60.0,null
1637746285549,60.0,null
1637746286537,60.0,null
1637746287556,61.0,null
1637746288538,58.0,null
1637746289558,61.0,null
1637746290548,60.0,null
1637746291554,61.0,null
1637746292555,61.0,null
1637746293554,61.0,null
1637746294563,55.0,null
1637746295577,50.0,null
1637746296543,54.0,null
1637746297562,53.0,null
1637746298556,51.0,null
1637746299557,47.0,null
1637746300560,51.0,null
1637746301571,51.0,null
1637746302556,50.0,null
1637746303581,55.0,null
1637746304577,52.0,null
1637746305556,57.0,null
1637746306573,52.0,null
1637746307590,54.0,null
1637746308573,51.0,null
1637746309589,40.0,null
1637746310588,49.0,null
1637746311561,58.0,null
1637746312569,60.0,null
1637746313566,56.0,null
1637746314591,52.0,null
1637746315571,58.0,null
1637746316571,59.0,null
1637746317575,61.0,null
1637746318564,57.0,null
1637746319580,58.0,null
1637746320567,58.0,null
1637746321578,60.0,null
1637746322580,58.0,null
1637746323591,59.0,null
1637746324592,57.0,null
1637746325585,57.0,null
1637746326588,60.0,null
1637746327590,61.0,null
1637746328589,59.0,null
1637746329592,55.0,null
1637746330588,60.0,null
1637746331590,55.0,null
1637746332575,56.0,null
1637746333576,57.0,null
1637746334600,50.0,null
