RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1637931679082,61.0,null
1637931680085,59.0,null
1637931681097,61.0,null
1637931682095,61.0,null
1637931683135,60.0,null
1637931684090,61.0,null
1637931685116,61.0,null
1637931686112,61.0,null
1637931687106,60.0,null
1637931688120,60.0,null
1637931689130,62.0,null
1637931690131,60.0,null
1637931691135,61.0,null
1637931692115,61.0,null
1637931693146,60.0,null
1637931694135,61.0,null
1637931695154,62.0,null
1637931696130,61.0,null
1637931697152,61.0,null
1637931698137,61.0,null
1637931699133,61.0,null
1637931700144,60.0,null
1637931701150,60.0,null
1637931702166,62.0,null
1637931703174,60.0,null
1637931704148,59.0,null
1637931705158,61.0,null
1637931706177,61.0,null
1637931707160,61.0,null
1637931708173,61.0,null
1637931709185,62.0,null
1637931710183,60.0,null
1637931711181,61.0,null
1637931712196,61.0,null
1637931713189,61.0,null
1637931714209,61.0,null
1637931715200,61.0,null
1637931716198,62.0,null
1637931717213,60.0,null
1637931718202,61.0,null
1637931719215,61.0,null
1637931720216,60.0,null
1637931721227,61.0,null
1637931722217,62.0,null
1637931723233,59.0,null
1637931724236,60.0,null
1637931725237,61.0,null
1637931726238,59.0,null
1637931727249,59.0,null
1637931728237,61.0,null
1637931729253,60.0,null
1637931730237,61.0,null
1637931731260,61.0,null
1637931732266,59.0,null
1637931733268,60.0,null
1637931734266,59.0,null
1637931735270,60.0,null
1637931736295,61.0,null
1637931737265,61.0,null
1637931738297,61.0,null
1637931739284,61.0,null
1637931740278,60.0,null
1637931741284,62.0,null
1637931742293,61.0,null
1637931743283,62.0,null
1637931744300,61.0,null
1637931745290,61.0,null
1637931746290,61.0,null
1637931747299,61.0,null
1637931748297,61.0,null
1637931749298,60.0,null
1637931750300,61.0,null
1637931751295,61.0,null
1637931752315,60.0,null
1637931753320,62.0,null
1637931754311,61.0,null
1637931755317,61.0,null
1637931756329,61.0,null
1637931757325,61.0,null
1637931758322,61.0,null
1637931759334,61.0,null
1637931760321,61.0,null
1637931761331,61.0,null
1637931762337,61.0,null
1637931763354,61.0,null
1637931764341,61.0,null
1637931765341,61.0,null
1637931766352,61.0,null
1637931767368,61.0,null
1637931768362,60.0,null
1637931769363,61.0,null
1637931770364,61.0,null
1637931771376,62.0,null
1637931772367,61.0,null
1637931773376,61.0,null
1637931774382,61.0,null
1637931775375,61.0,null
1637931776378,61.0,null
1637931777386,61.0,null
1637931778391,61.0,null
1637931779400,61.0,null
1637931780384,61.0,null
1637931781391,61.0,null
1637931782407,61.0,null
1637931783409,61.0,null
1637931784422,61.0,null
1637931785412,61.0,null
1637931786436,61.0,null
1637931787410,61.0,null
1637931788421,61.0,null
1637931789451,61.0,null
1637931790418,61.0,null
1637931791471,60.0,null
1637931792434,61.0,null
1637931793492,61.0,null
1637931794474,61.0,null
1637931795453,62.0,null
1637931796463,61.0,null
1637931797450,60.0,null
1637931798448,60.0,null
1637931799501,61.0,null
1637931800456,61.0,null
1637931801476,60.0,null
1637931802477,60.0,null
1637931803494,61.0,null
1637931804489,60.0,null
1637931805476,61.0,null
1637931806510,60.0,null
1637931807480,61.0,null
1637931808481,62.0,null
1637931809481,60.0,null
1637931810488,61.0,null
1637931811495,61.0,null
1637931812482,60.0,null
1637931813475,61.0,null
1637931814529,61.0,null
1637931815501,61.0,null
1637931816489,60.0,null
1637931817500,61.0,null
1637931818504,61.0,null
1637931819502,61.0,null
1637931820523,60.0,null
1637931821516,61.0,null
1637931822518,61.0,null
1637931823506,61.0,null
1637931824530,61.0,null
1637931825516,61.0,null
1637931826542,60.0,null
1637931827532,55.0,null
1637931828538,55.0,null
1637931829549,54.0,null
1637931830547,58.0,null
1637931831551,58.0,null
1637931832543,61.0,null
1637931833572,61.0,null
1637931834580,61.0,null
