RecordTime,£¨ÓÎÏ·£©Ö¡ÂÊ(Ö¡),extra
1636009125775,26.0,null
1636009126775,26.0,null
1636009127775,25.0,null
1636009128779,26.0,null
1636009129778,26.0,null
1636009130779,26.0,null
1636009131782,26.0,null
1636009132780,26.0,null
1636009133791,25.0,null
1636009134792,26.0,null
1636009135782,26.0,null
1636009136789,27.0,null
1636009137787,26.0,null
1636009138795,26.0,null
1636009139787,26.0,null
1636009140787,26.0,null
1636009141788,25.0,null
1636009142788,26.0,null
1636009143789,26.0,null
1636009144790,26.0,null
1636009145789,25.0,null
1636009146792,26.0,null
1636009147791,25.0,null
1636009148793,26.0,null
1636009149793,26.0,null
1636009150793,25.0,null
1636009151800,26.0,null
1636009152806,25.0,null
1636009153795,26.0,null
1636009154805,26.0,null
1636009155798,26.0,null
1636009156802,26.0,null
1636009157807,26.0,null
1636009158809,26.0,null
1636009159799,26.0,null
1636009160803,26.0,null
1636009161804,26.0,null
1636009162802,26.0,null
1636009163806,26.0,null
1636009164805,26.0,null
1636009165803,26.0,null
1636009166806,26.0,null
1636009167807,26.0,null
1636009168816,26.0,null
1636009169806,26.0,null
1636009170808,26.0,null
1636009171811,26.0,null
1636009172810,26.0,null
1636009173812,26.0,null
1636009174810,26.0,null
1636009175811,26.0,null
1636009176812,26.0,null
1636009177811,26.0,null
1636009178814,26.0,null
1636009179814,25.0,null
1636009180813,26.0,null
1636009181815,26.0,null
1636009182816,26.0,null
1636009183814,26.0,null
1636009184817,26.0,null
1636009185817,26.0,null
1636009186817,25.0,null
1636009187821,25.0,null
1636009188821,26.0,null
1636009189820,25.0,null
1636009190822,26.0,null
1636009191823,26.0,null
1636009192825,26.0,null
1636009193827,26.0,null
1636009194829,25.0,null
1636009195827,26.0,null
1636009196828,26.0,null
1636009197831,26.0,null
1636009198828,26.0,null
1636009199845,26.0,null
1636009200830,26.0,null
1636009201832,26.0,null
1636009202836,26.0,null
1636009203835,26.0,null
1636009204832,26.0,null
1636009205843,26.0,null
1636009206845,26.0,null
1636009207834,25.0,null
1636009208834,26.0,null
1636009210845,25.0,null
1636009211835,26.0,null
1636009212838,26.0,null
1636009213835,26.0,null
1636009214837,26.0,null
1636009215843,24.0,null
1636009216838,26.0,null
1636009217838,26.0,null
1636009218843,24.0,null
1636009219838,26.0,null
1636009220842,26.0,null
1636009221841,26.0,null
1636009222851,25.0,null
1636009223851,26.0,null
1636009224845,26.0,null
1636009225854,26.0,null
1636009226845,26.0,null
1636009227846,26.0,null
1636009228854,26.0,null
1636009229846,25.0,null
1636009230847,26.0,null
1636009233213,1.0,null
1636009233348,5.0,null
1636009234351,26.0,null
1636009235351,26.0,null
1636009236351,26.0,null
1636009237351,26.0,null
1636009238361,26.0,null
1636009239355,26.0,null
1636009240357,25.0,null
1636009241357,26.0,null
1636009242369,26.0,null
1636009243359,21.0,null
1636009244360,26.0,null
1636009245358,25.0,null
1636009246361,26.0,null
1636009247360,26.0,null
1636009248370,26.0,null
1636009249372,25.0,null
1636009250361,26.0,null
1636009251363,26.0,null
1636009252364,26.0,null
1636009253364,25.0,null
1636009254374,26.0,null
